"","3","5","10","20","30","CentJ48"
"australian",78.5507246376812,80.1449275362319,80.7246376811594,83.9130434782609,84.2028985507246,82.463768115942
"breast",91.1304347826087,93.1325051759834,94.128364389234,93.8405797101449,93.8405797101449,92.703933747412
"breastcancer",67.1182266009852,66.0344827586207,66.7364532019704,64.9137931034483,64.9261083743842,68.1896551724138
"diabetes",67.9801777170198,67.8434723171565,67.5837320574163,68.2399179767601,69.1507177033493,71.2303485987697
"heart",62.962962962963,65.9259259259259,70.7407407407407,69.6296296296296,69.6296296296296,74.0740740740741
"hepatitis",76.25,76.25,77.4583333333333,79.4583333333333,78.2083333333333,80.1666666666667
"ionosphere",83.2301587301587,87.1984126984127,86.9047619047619,85.7698412698413,84.9126984126984,89.7380952380952
"labor",82.6666666666667,82.6666666666667,84.3333333333333,85,85,82.6666666666667
"liver-disorders",58.2352941176471,59.1260504201681,60.0084033613445,55.9075630252101,55.8991596638655,65.4957983193277
"mushroom",99.0522846115161,99.1138609661959,99.064599882452,99.3599543138289,99.3476541908276,100
"sick",97.799811937743,97.826337136682,97.773286738804,97.693640969503,97.667115770564,97.879177017108
"sonar",60.5952380952381,58.6666666666667,62.0476190476191,59.2142857142857,60.1904761904762,62.4285714285714
"tic-tac-toe",76.4177631578947,79.3453947368421,81.2160087719298,82.1469298245614,80.9989035087719,92.4879385964912
"vote",92.1934460887949,92.2040169133192,93.5940803382664,94.4978858350951,94.5031712473573,95.6501057082452
"Average",78.1559421504941,78.9627657084908,80.1653110558832,79.9703855845645,79.8912461632948,82.5124856678417
"RankSum",68,60,46,45,47,24
