"","3","5","10","20","30","CentPART"
"australian",78.2608695652174,79.7101449275362,80.2898550724638,81.7391304347826,82.463768115942,83.719806763285
"breast",92.9855072463768,93.2732919254658,93.7018633540373,94.9875776397515,94.416149068323,93.5093167701863
"breastcancer",67.0935960591133,69.5566502463054,69.2487684729064,70.935960591133,70.5911330049261,69.5771756978654
"diabetes",70.8526999316473,70.3349282296651,72.9323308270677,71.8916609706083,72.147983595352,71.6228070175439
"heart",72.5925925925926,75.1851851851852,76.6666666666667,74.0740740740741,75.1851851851852,74.320987654321
"hepatitis",73.7083333333333,73.7083333333333,75,77,76.9583333333333,82.0138888888889
"ionosphere",78.6031746031746,81.1587301587302,82.015873015873,88.8809523809524,88.0238095238095,87.2619047619048
"labor",60.3333333333333,67,67,56.1111111111111,56.1111111111111,81
"liver-disorders",54.453781512605,58.8067226890756,62.5714285714286,61.9747899159664,61.6974789915966,61.7058823529412
"mushroom",99.6801513581638,99.9261538181884,99.8768927344446,99.8399469216367,99.8399469216367,100
"sick",95.546503305124,95.519978106185,97.40214447111,96.6857535823053,96.5532679325783,97.8967669197554
"sonar",61.1904761904762,63.0714285714286,62.1190476190476,63.5952380952381,63.1190476190476,64.4444444444444
"tic-tac-toe",77.9649122807018,82.9912280701754,84.7609649122807,85.0745614035088,84.452850877193,90.6337719298246
"vote",85.5179704016913,86.1892177589852,82.4524312896406,83.1395348837209,83.5993657505285,95.3453136011276
"Average",76.3417072652536,78.3165709300185,79.0027333576405,78.9950208574849,78.9399593593259,82.3608619144349
"RankSum",76,58,44,39,43,29
