"","3","5","10","20","30","CentJ48","CentDT","CentPART"
"australian",80.4347826086957,84.6376811594203,85.2173913043478,84.4927536231884,85.2173913043478,82.463768115942,83.4782608695652,83.719806763285
"breast",93.8426501035197,93.5610766045549,93.9875776397515,93.9875776397515,94.8426501035197,92.703933747412,92.8426501035197,93.5093167701863
"breastcancer",67.1305418719212,69.2364532019704,72.0197044334975,70.9729064039409,70.948275862069,68.1896551724138,70.2832512315271,69.5771756978654
"diabetes",71.1107313738893,70.7142857142857,73.8397129186603,73.3151059466849,73.9695830485304,71.2303485987697,71.61995898838,71.6228070175439
"heart",72.962962962963,74.0740740740741,74.8148148148148,75.5555555555556,74.0740740740741,74.0740740740741,74.8148148148148,74.320987654321
"hepatitis",76.875,78.1666666666667,80.75,79.5,79.5416666666667,80.1666666666667,82.0416666666667,82.0138888888889
"ionosphere",88.8650793650794,87.1587301587302,88.3095238095238,87.4523809523809,87.7460317460317,89.7380952380952,86.4603174603175,87.2619047619048
"labor",66,74,79,72.2222222222222,81.1111111111111,82.6666666666667,79.3333333333333,81
"liver-disorders",56.781512605042,57.0504201680672,62.2689075630252,57.6806722689076,59.6974789915966,65.4957983193277,61.5882352941176,61.7058823529412
"mushroom",99.8400529571798,99.9261386702537,99.9261538181884,99.8769078823793,99.8892231533153,100,100,100
"sick",97.349164245716,97.852862335621,97.826266964198,97.852862335621,97.852792163137,97.879177017108,97.905702216047,97.8967669197554
"sonar",57.3095238095238,67.3809523809524,60.2142857142857,63.1666666666667,63.5952380952381,62.4285714285714,63,64.4444444444444
"tic-tac-toe",75.8837719298246,81.8377192982456,87.469298245614,87.3728070175439,86.4331140350877,92.4879385964912,88.4577850877193,90.6337719298246
"vote",93.3562367864693,94.2706131078224,92.8646934460888,94.9630021141649,94.73044397463,95.6501057082452,95.5311839323467,95.3453136011276
"Average",78.4101436157017,80.7048338243332,82.036309333714,81.3151014735006,82.1177910235254,82.5124856678417,81.9540828570254,82.3608619144349
"RankSum",100,78,51,60,54,54,54,49
