"","3","5","10","20","30","CentDT"
"australian",84.0579710144928,85.2173913043478,85.3623188405797,85.3623188405797,85.6521739130435,83.4782608695652
"breast",93.6997929606625,92.1262939958592,91.5548654244306,92.4120082815735,92.2691511387164,92.8426501035197
"breastcancer",72.0443349753695,70.9852216748769,73.435960591133,71.7118226600985,72.0689655172414,70.2832512315271
"diabetes",72.6674641148325,73.0553656869446,72.9289131920711,73.1903622693096,72.9323308270677,71.61995898838
"heart",72.2222222222222,71.4814814814815,74.4444444444444,73.3333333333333,72.962962962963,74.8148148148148
"hepatitis",80.7916666666667,79.5,79.5,80.0833333333333,79.4583333333333,82.0416666666667
"ionosphere",82.8730158730159,80.3174603174603,78.8888888888889,78.3174603174603,78.031746031746,86.4603174603175
"labor",77.3333333333333,77.3333333333333,74,70.5555555555556,70.5555555555556,79.3333333333333
"liver-disorders",57.4117647058823,57.3865546218487,57.3781512605042,58.2689075630252,58.8487394957983,61.5882352941176
"mushroom",99.926123522319,99.9015232763165,99.9015232763165,99.7661461836293,99.7661461836293,100
"sick",97.8000224551949,97.7999522827109,97.7999522827109,97.7734270837719,97.7734270837719,97.905702216047
"sonar",62.6190476190476,62.1190476190476,62.5476190476191,63,63.9761904761905,63
"tic-tac-toe",76.2050438596491,78.6063596491228,78.8201754385965,77.6754385964912,77.4627192982456,88.4577850877193
"vote",94.9630021141649,95.1902748414376,95.1902748414376,95.4175475687104,95.4175475687104,95.5311839323467
"Average",80.3296289597752,80.072875720342,80.1252205377666,79.7762615419194,79.7982849561438,81.9540828570254
"RankSum",49,55,50,47,51,31
