"","3","5","10","20","30","CentJ48"
"australian",79.5652173913043,81.0144927536232,82.6086956521739,85.2173913043478,85.2173913043478,82.463768115942
"breast",90.2712215320911,93.2712215320911,93.5569358178054,92.6977225672878,93.6997929606625,92.703933747412
"breastcancer",68.14039408867,67.3768472906404,67.4261083743842,66.7241379310345,67.4384236453202,68.1896551724138
"diabetes",68.1117566643882,68.7542720437457,67.9784688995215,70.580997949419,70.4511278195489,71.2303485987697
"heart",61.8518518518519,64.0740740740741,69.6296296296296,70.3703703703704,70,74.0740740740741
"hepatitis",76.875,75.625,77.5416666666667,80.125,80.125,80.1666666666667
"ionosphere",82.6587301587302,84.3571428571429,84.3571428571429,84.0714285714286,82.6428571428571,89.7380952380952
"labor",84.3333333333333,82.6666666666667,82.6666666666667,82.2222222222222,82.2222222222222,82.6666666666667
"liver-disorders",59.109243697479,59.6974789915966,59.9831932773109,55.8655462184874,56.4705882352941,65.4957983193277
"mushroom",98.9784232817698,99.0276995134483,99.0276995134483,99.3230539448252,99.3230539448252,100
"sick",97.879317362076,97.852792163137,97.799741765259,97.693640969503,97.667115770564,97.879177017108
"sonar",59.6190476190476,61.0714285714286,60.0952380952381,58.1904761904762,60.1428571428571,62.4285714285714
"tic-tac-toe",76.4199561403509,79.344298245614,80.4890350877193,81.2127192982456,81.422149122807,92.4879385964912
"vote",94.5031712473573,94.9577167019028,95.1902748414376,94.73044397463,94.73044397463,95.6501057082452
"Average",78.4511903120321,79.2207951003651,79.8821783674574,79.9303679651627,80.1109302347097,82.5124856678417
"RankSum",64,53,48,53,46,23
