"","3","5","10","20","30","PureJ48","PureDT","PurePART"
"australian",84.6376811594203,86.231884057971,85.3623188405797,85.7971014492754,85.7971014492754,82.463768115942,83.4782608695652,83.719806763285
"breast",93.6977225672878,93.6997929606625,93.6977225672878,92.9834368530021,93.4120082815735,92.703933747412,92.8426501035197,93.5093167701863
"breastcancer",68.1527093596059,70.2709359605911,71.3177339901478,72.3891625615764,72.0197044334975,68.1896551724138,70.2832512315271,69.5771756978654
"diabetes",71.1073137388927,73.3168147641832,72.9306220095694,73.0587833219412,73.1869446343131,71.2303485987697,71.61995898838,71.6228070175439
"heart",73.3333333333333,73.3333333333333,76.2962962962963,75.1851851851852,77.037037037037,74.0740740740741,74.8148148148148,74.320987654321
"hepatitis",76.9583333333333,75.75,79.5416666666667,77,76.375,80.1666666666667,82.0416666666667,82.0138888888889
"ionosphere",85.7460317460317,85.1904761904762,84.0396825396825,84.031746031746,81.4761904761905,89.7380952380952,86.4603174603175,87.2619047619048
"labor",84,77.6666666666667,76,82.2222222222222,70,82.6666666666667,79.3333333333333,81
"liver-disorders",53.8319327731092,57.0420168067227,57.6554621848739,58.5042016806723,59.6974789915966,65.4957983193277,61.5882352941176,61.7058823529412
"mushroom",99.9015081283818,99.8522773405074,99.8522924884421,99.7907615775665,99.8522621925727,100,100,100
"sick",97.6673964604999,97.8000224551949,97.799811937743,97.826337136682,97.773286738804,97.879177017108,97.905702216047,97.8967669197554
"sonar",60.8095238095238,61.5714285714286,65,65.0238095238095,62.0952380952381,62.4285714285714,63,64.4444444444444
"tic-tac-toe",82.4616228070175,83.7116228070175,85.2861842105263,83.5164473684211,86.4364035087719,92.4879385964912,88.4577850877193,90.6337719298246
"vote",94.5031712473573,95.1902748414376,95.1902748414376,95.1902748414376,95.4175475687104,95.6501057082452,95.5311839323467,95.3453136011276
"Average",80.4863057474139,80.7591104825852,81.4264334695181,81.6085335538241,80.7554431005415,82.5124856678417,81.9540828570254,82.3608619144349
"RankSum",85,71,62,61,66,55,52,49
