"","3","5","10","20","30","PureJ48"
"australian",0.774461079358172,0.796160069823378,0.804296217021111,0.838930941993174,0.841709403535284,0.824631127205348
"breast",0.908500494071727,0.930826666513392,0.941387462943586,0.938253298945197,0.938200545592031,0.926549936965269
"breastcancer",0.661769590478021,0.653560276661031,0.65637111748976,0.636767379518533,0.632523281703114,0.67298622285933
"diabetes",0.637663247017062,0.646979885492613,0.645783353835375,0.669003471975114,0.677803718968825,0.709629490860067
"heart",0.616691204487402,0.649043800280888,0.700599425777592,0.69627662518533,0.69570821116002,0.741919746402403
"hepatitis",0.760570310489851,0.760570310489851,0.775605342632726,0.799128847963195,0.787460824628506,0.790614678092189
"ionosphere",0.819199998681912,0.865216080641859,0.862608804883505,0.850539892327568,0.842165588784778,0.895615732889502
"labor",0.877083333333333,0.877083333333333,0.894444444444444,0.859259259259259,0.859259259259259,0.828497942386831
"liver-disorders",0.560865840506086,0.587365183316105,0.598292971318176,0.560568944749922,0.560374332529293,0.654320756639994
"mushroom",0.990516461397277,0.991133106346665,0.990640159371204,0.993596236223878,0.993472944957309,1
"sick",0.977871874678706,0.978086499823337,0.977730416903024,0.976938265998765,0.976626928603711,0.978367024938319
"sonar",0.597323083341928,0.581179001845627,0.615087094142552,0.592183401148117,0.601924213368805,0.612277435243677
"tic-tac-toe",0.735437499357679,0.780604333998742,0.80183542703212,0.818152886804391,0.80597339428041,0.924910552434406
"vote",0.922009120431791,0.921630828565011,0.935953805774532,0.945183168302149,0.945225042264289,0.956352145669006
"Average",0.774283081259353,0.787102812652274,0.80004543168355,0.798198758599614,0.797030549259688,0.822619485184739
"RankSum",67,57,43,46,51,27
