"","3","5","10","20","30","CentPART"
"australian",0.778655867468511,0.796099274457735,0.802962636626898,0.817042479951403,0.824380797234405,0.83757848139392
"breast",0.927905965540343,0.93102313138505,0.935812856099428,0.949455430416832,0.943613635700743,0.934933412484867
"breastcancer",0.633913090905734,0.671530842179467,0.666162215723327,0.658498886119739,0.659018719464616,0.672313348769405
"diabetes",0.689941091929449,0.69176385385952,0.718724582830526,0.711924702684352,0.715682192855643,0.708715114494742
"heart",0.719255187414016,0.749192172799583,0.76465416306599,0.740768266346276,0.751471448612107,0.74487594249462
"hepatitis",0.757664774715213,0.757664774715213,0.76366052914234,0.773724547538205,0.774411160978442,0.812710345386422
"ionosphere",0.776359002730021,0.806650342116249,0.815702721131579,0.883595302271799,0.87302754145122,0.870905329665578
"labor",0.624489795918367,0.698412698412698,0.698412698412698,0.557319223985891,0.557319223985891,0.811056494282301
"liver-disorders",0.542760185927773,0.586610784655125,0.62274072643868,0.61754624634797,0.617475122315021,0.608862226943094
"mushroom",0.996795481869046,0.999261451402683,0.998768813611571,0.998399347451327,0.998399347451327,1
"sick",0.958781624075977,0.95623306617749,0.973978500382483,0.968791951651505,0.96809780655754,0.978316100262803
"sonar",0.6063956600697,0.622659815426991,0.614676276346757,0.630085470814535,0.625618055565116,0.645599111065051
"tic-tac-toe",0.780130981491922,0.827537374679114,0.843582464278511,0.845476579080194,0.837891635320427,0.906557043766466
"vote",0.854563402912095,0.862346597906466,0.823113332509938,0.829618434171634,0.834450125036157,0.953605888419403
"Average",0.760543722354869,0.782641870012385,0.788782322614338,0.784446204916547,0.784346915180618,0.820430631387762
"RankSum",77,56,42,44,43,28
