"","3","5","10","20","30","CentJ48","CentDT","CentPART"
"australian",0.801740248550325,0.845601227447995,0.85173316088783,0.845032219151924,0.852703101489822,0.824631127205348,0.835225059658043,0.83757848139392
"breast",0.938151734859757,0.935049400458308,0.939566749811943,0.939773461252883,0.948425168603928,0.926549936965269,0.928077699614001,0.934933412484867
"breastcancer",0.654102281417239,0.656520807961194,0.680358228124927,0.655180940402202,0.659644593061088,0.67298622285933,0.678808943888135,0.672313348769405
"diabetes",0.696390435163131,0.695568096926503,0.727259044232676,0.718355150553315,0.731197855932137,0.709629490860067,0.705648349035834,0.708715114494742
"heart",0.720365563945519,0.738635436938612,0.748421072654341,0.755580430570751,0.739131975083389,0.741919746402403,0.749025589532828,0.74487594249462
"hepatitis",0.775090305010652,0.783584159822468,0.813147810280633,0.798139614447876,0.804932523208748,0.790614678092189,0.81054559957145,0.812710345386422
"ionosphere",0.879652065941967,0.867112324143748,0.876502282333906,0.86923349984985,0.871421464220884,0.895615732889502,0.861952055763517,0.870905329665578
"labor",0.742380952380952,0.747392290249433,0.82312925170068,0.726873897707231,0.811816578483245,0.828497942386831,0.799051878061166,0.811056494282301
"liver-disorders",0.555806838385276,0.559497376027298,0.613387016870708,0.562779279633232,0.582805315753036,0.654320756639994,0.60171878736817,0.608862226943094
"mushroom",0.998399989437995,0.999261276444911,0.999261454753477,0.998769000493466,0.998892181515436,1,1,1
"sick",0.973700008883782,0.977859189553317,0.978061111624537,0.978458108278849,0.978427462319378,0.978367024938319,0.978310615393095,0.978316100262803
"sonar",0.567942109005804,0.672822188403133,0.601467352092352,0.633192703339695,0.636258802361014,0.612277435243677,0.630816239189237,0.645599111065051
"tic-tac-toe",0.760477074692348,0.820495442600208,0.874573250196619,0.872369489647474,0.861725541362671,0.924910552434406,0.884692809533611,0.906557043766466
"vote",0.93361462179284,0.942891059962206,0.929197217581745,0.949968456998053,0.947645396558147,0.956352145669006,0.955438562079861,0.953605888419403
"Average",0.785558159247685,0.803020734067095,0.818290357367598,0.807407589451914,0.816073425710923,0.822619485184739,0.815665156334925,0.820430631387762
"RankSum",99,82,48,63,52,49,60,51
