"","3","5","10","20","30","PureJ48"
"australian",0.786216567967508,0.8061887154869,0.824732265440993,0.852483405984191,0.852446378385323,0.824631127205348
"breast",0.898685596007169,0.932407647707177,0.935092331429831,0.926311796215139,0.93643747597697,0.926549936965269
"breastcancer",0.663255773907431,0.651481522818431,0.645628608371347,0.63561622771102,0.64258491711979,0.67298622285933
"diabetes",0.638499974692292,0.652293715592315,0.645285645835795,0.684169945815786,0.683230940953467,0.709629490860067
"heart",0.605757968800096,0.63248273265839,0.693403953341229,0.703139509624959,0.699669213709595,0.741919746402403
"hepatitis",0.762446154658677,0.750204878391085,0.750852867105515,0.818524685338326,0.818524685338326,0.790614678092189
"ionosphere",0.810052225817298,0.827450454364755,0.827450454364755,0.823202727865537,0.806232425248485,0.895615732889502
"labor",0.849814814814815,0.833127572016461,0.833127572016461,0.836111111111111,0.836111111111111,0.828497942386831
"liver-disorders",0.56701945428474,0.592828098501054,0.595369216645379,0.558982240114678,0.564615395962316,0.654320756639994
"mushroom",0.989777191126734,0.990270460050361,0.990270460050361,0.993226912331693,0.993226912331693,1
"sick",0.978823772288798,0.978548910945101,0.978103083713311,0.977082557332567,0.976795598670461,0.978367024938319
"sonar",0.586756043585001,0.590179433510913,0.581481137855365,0.553478267131454,0.580863804124491,0.612277435243677
"tic-tac-toe",0.735466832611049,0.777972781020458,0.792094274490379,0.804947983028184,0.806728278842973,0.924910552434406
"vote",0.945034084112591,0.949753070100874,0.952078651496223,0.947298893465175,0.947535635889418,0.956352145669006
"Average",0.772686175333871,0.783227856654591,0.788926465868353,0.793898304504987,0.796071626690316,0.822619485184739
"RankSum",62,51,49,50,47,29
