"","3","5","10","20","30","PurePART"
"australian",0.835814461212865,0.850697939053946,0.844849457869501,0.848030259326102,0.845182131268752,0.83757848139392
"breast",0.932318977523756,0.930803407125221,0.942270041264657,0.942082498814299,0.940567623606604,0.934933412484867
"breastcancer",0.62516798477593,0.663587912775053,0.658344905303881,0.653804176891398,0.658253786264712,0.672313348769405
"diabetes",0.707848605295032,0.700988995638101,0.713138034143508,0.723049131307636,0.720917358313068,0.708715114494742
"heart",0.746315592666167,0.749984030235385,0.790707419114001,0.748738596148289,0.754010128645737,0.74487594249462
"hepatitis",0.756687846949492,0.756687846949492,0.778673966093506,0.755998131291149,0.764784248443157,0.812710345386422
"ionosphere",0.868152871761532,0.865015350584977,0.855336009652346,0.879613086303798,0.879245717270034,0.870905329665578
"labor",0.703571428571429,0.772810111699001,0.772810111699001,0.756437389770723,0.756437389770723,0.811056494282301
"liver-disorders",0.547166915930476,0.574257738405893,0.595440119214361,0.62417719399232,0.614977622897608,0.608862226943094
"mushroom",0.998523252173835,0.999261451402683,0.999015141500983,0.999015141500983,0.999015141500983,1
"sick",0.977923724093286,0.976915618414895,0.978108605762607,0.977707408103937,0.977496071347359,0.978316100262803
"sonar",0.597776176531974,0.595601314239493,0.624871096729379,0.616052044283492,0.614841469537449,0.645599111065051
"tic-tac-toe",0.873895123207486,0.875472089096962,0.89191935459262,0.890429120574841,0.873993691551643,0.906557043766466
"vote",0.951975218423565,0.947414393444772,0.952332915687891,0.952206833218064,0.952206833218064,0.953605888419403
"Average",0.794509869936916,0.804249871361848,0.814129798473446,0.811952929394788,0.810852086688278,0.820430631387762
"RankSum",78,63,40,46,50,34
