"","3","5","10","20","30","CentJ48","CentDT","CentPART"
"australian",0.846092066636192,0.862856143916825,0.854218960424064,0.858540735654056,0.858469829972919,0.824631127205348,0.835225059658043,0.83757848139392
"breast",0.936677024424684,0.936665681776814,0.93686276374735,0.929123695059451,0.93362538104038,0.926549936965269,0.928077699614001,0.934933412484867
"breastcancer",0.650660095127536,0.643420416904631,0.678096648478453,0.672253331292891,0.669384244829949,0.67298622285933,0.678808943888135,0.672313348769405
"diabetes",0.680893257946513,0.715710911188084,0.706679619718263,0.701734229807754,0.703066588895293,0.709629490860067,0.705648349035834,0.708715114494742
"heart",0.729944853567379,0.732657252613541,0.762899232917101,0.747787369649349,0.771165552483504,0.741919746402403,0.749025589532828,0.74487594249462
"hepatitis",0.747910183872109,0.746951833742551,0.769953495498754,0.77043378879892,0.767396592119482,0.790614678092189,0.81054559957145,0.812710345386422
"ionosphere",0.854950912294743,0.839602315922045,0.824338582038362,0.818449173975602,0.789781868390104,0.895615732889502,0.861952055763517,0.870905329665578
"labor",0.865476190476191,0.779850088183421,0.801587301587302,0.83015873015873,0.701322751322751,0.828497942386831,0.799051878061166,0.811056494282301
"liver-disorders",0.512724840811361,0.542134770468765,0.539750295145226,0.535939144181708,0.5371960816554,0.654320756639994,0.60171878736817,0.608862226943094
"mushroom",0.999015052118144,0.998522665904875,0.998522712047349,0.997907366059533,0.998522547951125,1,1,1
"sick",0.976726171660975,0.977917332465621,0.978201914362082,0.978402659135965,0.977893652786497,0.978367024938319,0.978310615393095,0.978316100262803
"sonar",0.602325335321548,0.602728183990322,0.645894442153812,0.633450929927955,0.606040911230879,0.612277435243677,0.630816239189237,0.645599111065051
"tic-tac-toe",0.821848430975564,0.834163713702713,0.848535211537794,0.825433079955477,0.861041456164773,0.924910552434406,0.884692809533611,0.906557043766466
"vote",0.945143621555845,0.952317299471696,0.952317299471696,0.952304049220452,0.954582722927697,0.956352145669006,0.955438562079861,0.953605888419403
"Average",0.797884859770627,0.797535615017993,0.806989891366258,0.803708448776989,0.794963584412197,0.822619485184739,0.815665156334925,0.820430631387762
"RankSum",86,74,55,70,76,46,52,44
