"","3","5","10","20","30","PurePART"
"australian",0.78780911580374,0.799274162285568,0.810088972068166,0.825882375367671,0.829542201940327,0.842353042105742
"breast",0.934367335239074,0.937306700848388,0.940189141321721,0.948034697617251,0.945256277779333,0.936385113588895
"breastcancer",0.660543425885755,0.696728662564823,0.700677573260473,0.654421346922452,0.684205936307386,0.678174954934517
"diabetes",0.706824044595612,0.707188059238872,0.729396883381916,0.717385609581576,0.723005078140307,0.710302332197507
"heart",0.798210513766069,0.801494375427984,0.826280632342724,0.783999264982237,0.790759269969796,0.759661775729759
"hepatitis",0.80578125,0.80578125,0.80290606962482,0.814296293983794,0.817478112165612,0.828794072635033
"ionosphere",0.853748519607552,0.868020803821942,0.87493033474953,0.888769215999055,0.891746350871351,0.87461355763394
"labor",0.767460317460317,0.830555555555555,0.830555555555555,0.838888888888889,0.838888888888889,0.844652777777778
"liver-disorders",0.553236496386012,0.597775457293701,0.6320141849574,0.642723220244556,0.623136523288005,0.616490959117735
"mushroom",0.996885808074635,0.999263800949461,0.998772955102402,0.9984043877115,0.9984043877115,1
"sick",0.964748147866736,0.962322667017412,0.974054803350577,0.974001742002737,0.973548141647424,0.97842982488855
"sonar",0.644251042167709,0.659061683930105,0.643718348450491,0.665236220750927,0.660024969583793,0.659604862357352
"tic-tac-toe",0.812679204602368,0.841740591003639,0.851684113410297,0.854526033126112,0.84734881567675,0.908803467742711
"vote",0.887460511453307,0.897406096972441,0.878395525480126,0.886557993414046,0.890412630193703,0.95544506170359
"Average",0.798143266636349,0.814565704779278,0.820976078075443,0.820937663613772,0.822411256011727,0.828122271600936
"RankSum",80,60,48,45,40,38
