"","3","5","10","20","30","PureJ48","PureDT","PurePART"
"australian",0.845658958576189,0.830900826432639,0.846443883201811,0.85380346469199,0.85545024044518,0.829682360496709,0.841786289207333,0.842353042105742
"breast",0.938358257853386,0.939359855040256,0.951662971087724,0.944772485698018,0.943136929611754,0.928314896474357,0.929914472994754,0.936385113588895
"breastcancer",0.670648567186048,0.70986796819089,0.683186051163562,0.709132961331029,0.693637445284955,0.685151994135181,0.686411294753692,0.678174954934517
"diabetes",0.724498264238542,0.728622361462622,0.725971337769305,0.738200019467474,0.740702550757097,0.711590557564138,0.708553898154895,0.710302332197507
"heart",0.772999878613914,0.768407150650443,0.783666004443008,0.775569141709493,0.790549622248969,0.759236063803057,0.763969620182772,0.759661775729759
"hepatitis",0.77488952020202,0.831332799145299,0.829364231447565,0.802757215778049,0.838718515281015,0.805138125763126,0.825929268081161,0.828794072635033
"ionosphere",0.873864216528813,0.910168975774168,0.885119513802463,0.885785885658121,0.873757604991015,0.902319865418616,0.86706197456468,0.87461355763394
"labor",0.881481481481481,0.893981481481481,0.906597222222222,0.821759259259259,0.818888888888889,0.870987654320988,0.838280423280423,0.844652777777778
"liver-disorders",0.559883681642065,0.563579469337801,0.583687959168668,0.58173322550871,0.563058396348828,0.657924568748944,0.61637351882542,0.616490959117735
"mushroom",0.999025694425298,0.999754272842676,0.999508579725394,0.998895464526298,0.999140126897887,1,1,1
"sick",0.975020386954034,0.97770038912791,0.978577753319459,0.977467169301204,0.978271671374647,0.978536512350715,0.978394563664711,0.97842982488855
"sonar",0.729226107109511,0.640501657617204,0.666251803751804,0.690804010804011,0.684292929292929,0.648722741038918,0.645820938320938,0.659604862357352
"tic-tac-toe",0.801985530700712,0.833712300973908,0.867842885244879,0.897910835728897,0.867447982760349,0.925782394566038,0.888471528904474,0.908803467742711
"vote",0.947868134259541,0.93450156299039,0.952834255050132,0.949961683896357,0.954900783482939,0.958654624818831,0.957016533738377,0.95544506170359
"Average",0.821100619983682,0.825885076504835,0.832908175099857,0.830610915954208,0.828710977690461,0.833003025678544,0.824856023190974,0.828122271600936
"RankSum",90,70,50,62,60,61,79,68
