"","3","5","10","20","30","CentDT"
"australian",0.848032800812652,0.862487469336715,0.863451495611684,0.866675982808398,0.870197306757215,0.841786289207333
"breast",0.938707285858961,0.923797635963545,0.918608234732597,0.926352087334719,0.924912855771648,0.929914472994754
"breastcancer",0.710185074610362,0.684335556798611,0.711563694332518,0.692705524041731,0.690564197619004,0.686411294753692
"diabetes",0.732045179683654,0.737331843825179,0.73539700803965,0.743178935684965,0.74278738403674,0.708553898154895
"heart",0.740529511911091,0.731781600752189,0.752856921582412,0.744434520937789,0.743620335123603,0.763969620182772
"hepatitis",0.822117928367928,0.812863438644689,0.803986787022501,0.817961800104657,0.787349555206698,0.825929268081161
"ionosphere",0.857209320842905,0.848727201717194,0.832920146272911,0.835312725283482,0.833575451063449,0.86706197456468
"labor",0.881481481481482,0.881481481481482,0.828888888888889,0.786111111111111,0.786111111111111,0.838280423280423
"liver-disorders",0.570767757087339,0.565729272733497,0.575662832802326,0.597130398008126,0.607062319052406,0.61637351882542
"mushroom",0.999262989836166,0.999018170080276,0.999018170080276,0.997682751215127,0.997682751215127,1
"sick",0.978891867993308,0.978892851598861,0.978892851598861,0.978819905865973,0.978819905865973,0.978394563664711
"sonar",0.660659964840637,0.680756357423761,0.70162053710373,0.719231473291071,0.719423620325323,0.645820938320938
"tic-tac-toe",0.768187000822635,0.78624099346546,0.79002132314772,0.776301793359438,0.776185172449148,0.888471528904474
"vote",0.952787359272743,0.955173722909106,0.954838551309989,0.957779727780578,0.957779727780578,0.957016533738377
"Average",0.81863325167299,0.817758399766469,0.81769481732329,0.817119909773369,0.815433692384145,0.824856023190974
"RankSum",50,53,49,43,49,43
