"","3","5","10","20","30","PurePART"
"australian",0.8423369561125,0.854636829897109,0.84889291110928,0.856757993517842,0.849404991516803,0.842353042105742
"breast",0.933367669694679,0.932409922868503,0.943586090657122,0.939811272198917,0.943100781205638,0.936385113588895
"breastcancer",0.650701298926451,0.693087637493768,0.707824021444711,0.68298257220596,0.679637408053343,0.678174954934517
"diabetes",0.727442930808077,0.71722815712351,0.730286596308702,0.730051669324722,0.730678058639672,0.710302332197507
"heart",0.792489033600145,0.779841354179589,0.825144392644393,0.776482743835685,0.786651673489909,0.759661775729759
"hepatitis",0.775796512515262,0.775796512515262,0.792643467643468,0.779840801559551,0.796648509669343,0.828794072635033
"ionosphere",0.87817170451381,0.876592832107052,0.870454609170448,0.902762125952218,0.896788099978192,0.87461355763394
"labor",0.7875,0.848765432098765,0.848765432098765,0.847222222222222,0.847222222222222,0.844652777777778
"liver-disorders",0.55872268633954,0.585494461420932,0.60077198515279,0.633669305119433,0.624166254243932,0.616490959117735
"mushroom",0.998534464351259,0.999263800949461,0.999018697020589,0.999018697020589,0.999018697020589,1
"sick",0.978318307405186,0.977072317168195,0.978900871384811,0.97797443904025,0.978273050633378,0.97842982488855
"sonar",0.645598980332874,0.65710446299732,0.679292911036332,0.637382791500439,0.639261793761794,0.659604862357352
"tic-tac-toe",0.87912820583529,0.879692886910869,0.897138778149335,0.899218144055788,0.880675737046868,0.908803467742711
"vote",0.954869009732801,0.949890212658415,0.954516323203643,0.956449460825311,0.954063097188947,0.95544506170359
"Average",0.814498411440562,0.823348344313482,0.834088363358885,0.829973159884209,0.828970741047902,0.828122271600936
"RankSum",65,56,36,42,44,48
