"","3","5","10","20","30","CentJ48","CentDT","CentPART"
"australian",0.853271948139778,0.872129311334455,0.862929457551951,0.868577587003863,0.870153716535397,0.829682360496709,0.841786289207333,0.842353042105742
"breast",0.939096100228201,0.937903720959347,0.937861782783039,0.932028164349848,0.93638902546448,0.928314896474357,0.929914472994754,0.936385113588895
"breastcancer",0.699532799534299,0.671831235176063,0.699764403061817,0.731517627768669,0.731791776408635,0.685151994135181,0.686411294753692,0.678174954934517
"diabetes",0.70969592375569,0.731701492908009,0.735544935747923,0.732664654653804,0.734649828880647,0.711590557564138,0.708553898154895,0.710302332197507
"heart",0.758279449006573,0.758605526215175,0.782184422331481,0.789020648226033,0.786943976805088,0.759236063803057,0.763969620182772,0.759661775729759
"hepatitis",0.758725909507159,0.761454305725139,0.800500801282051,0.784401470924908,0.78718020260989,0.805138125763126,0.825929268081161,0.828794072635033
"ionosphere",0.871729894353047,0.873146958605461,0.872027957880491,0.873317811973274,0.862020407612235,0.902319865418616,0.86706197456468,0.87461355763394
"labor",0.934375,0.823148148148148,0.909722222222222,0.918981481481482,0.85625,0.870987654320988,0.838280423280423,0.844652777777778
"liver-disorders",0.52640399926659,0.571242341961092,0.588593670718908,0.604858254095683,0.611971765979119,0.657924568748944,0.61637351882542,0.616490959117735
"mushroom",0.999018051876323,0.998527413644746,0.998529188238091,0.997916520024302,0.998526716357052,1,1,1
"sick",0.97736419386577,0.978277821531814,0.978852863131273,0.978884210462969,0.978420025251475,0.978536512350715,0.978394563664711,0.97842982488855
"sonar",0.629519332674795,0.675934938077795,0.682038530252816,0.684386817858457,0.65906570961718,0.648722741038918,0.645820938320938,0.659604862357352
"tic-tac-toe",0.827627275380936,0.841014816144147,0.859926433087905,0.84250502865771,0.867266725903737,0.925782394566038,0.888471528904474,0.908803467742711
"vote",0.94773416022304,0.954838551309989,0.954838551309989,0.955393364144214,0.957779727780578,0.958654624818831,0.957016533738377,0.95544506170359
"Average",0.816598145558014,0.81783975583867,0.83309394425714,0.835318117258944,0.831314971800394,0.833003025678544,0.824856023190974,0.828122271600936
"RankSum",84,77,52,52,56,55,71,56
