"","3","5","10","20","30","PurePART"
"australian",0.782608695652174,0.797101449275362,0.802898550724638,0.821739130434783,0.82463768115942,0.83719806763285
"breast",0.929855072463768,0.932732919254658,0.937018633540373,0.947018633540373,0.94416149068323,0.935093167701863
"breastcancer",0.670935960591133,0.695566502463054,0.692487684729064,0.681527093596059,0.705911330049261,0.695771756978654
"diabetes",0.708526999316473,0.703349282296651,0.729323308270677,0.717566643882433,0.72147983595352,0.716228070175439
"heart",0.725925925925926,0.751851851851852,0.766666666666667,0.748148148148148,0.751851851851852,0.74320987654321
"hepatitis",0.737083333333333,0.737083333333333,0.75,0.763333333333333,0.769583333333333,0.820138888888889
"ionosphere",0.786031746031746,0.811587301587302,0.82015873015873,0.877380952380952,0.880238095238095,0.872619047619048
"labor",0.603333333333333,0.67,0.67,0.561111111111111,0.561111111111111,0.81
"liver-disorders",0.54453781512605,0.588067226890756,0.625714285714286,0.637226890756303,0.616974789915966,0.617058823529412
"mushroom",0.996801513581638,0.999261538181884,0.998768927344446,0.998399469216367,0.998399469216367,1
"sick",0.95546503305124,0.95519978106185,0.9740214447111,0.968714299748783,0.965532679325783,0.978967669197554
"sonar",0.611904761904762,0.630714285714286,0.621190476190476,0.640714285714286,0.631190476190476,0.644444444444444
"tic-tac-toe",0.779649122807017,0.829912280701754,0.847609649122807,0.851809210526316,0.84452850877193,0.906337719298246
"vote",0.855179704016913,0.861892177589852,0.824524312896406,0.831395348837209,0.835993657505285,0.953453136011276
"Average",0.763417072652536,0.783165709300185,0.790027333576405,0.789006039373318,0.789399593593259,0.823608619144349
"RankSum",82,62,46,47,43,30
