"","3","5","10","20","30","CentJ48","CentDT","CentPART"
"australian",0.804347826086957,0.846376811594203,0.852173913043478,0.844927536231884,0.852173913043478,0.82463768115942,0.834782608695652,0.83719806763285
"breast",0.938426501035197,0.935610766045549,0.939875776397516,0.939875776397516,0.948426501035197,0.92703933747412,0.928426501035197,0.935093167701863
"breastcancer",0.671305418719212,0.692364532019704,0.720197044334975,0.709729064039409,0.70948275862069,0.681896551724138,0.702832512315271,0.695771756978654
"diabetes",0.711107313738893,0.707142857142857,0.738397129186603,0.733151059466849,0.739695830485304,0.712303485987697,0.7161995898838,0.716228070175439
"heart",0.72962962962963,0.740740740740741,0.748148148148148,0.755555555555556,0.740740740740741,0.740740740740741,0.748148148148148,0.74320987654321
"hepatitis",0.76875,0.781666666666667,0.8075,0.795,0.795416666666667,0.801666666666667,0.820416666666667,0.820138888888889
"ionosphere",0.888650793650794,0.871587301587302,0.883095238095238,0.874523809523809,0.877460317460317,0.897380952380952,0.864603174603175,0.872619047619048
"labor",0.66,0.74,0.79,0.722222222222222,0.811111111111111,0.826666666666667,0.793333333333333,0.81
"liver-disorders",0.56781512605042,0.570504201680672,0.622689075630252,0.576806722689076,0.596974789915966,0.654957983193277,0.615882352941176,0.617058823529412
"mushroom",0.998400529571798,0.999261386702537,0.999261538181884,0.998769078823793,0.998892231533153,1,1,1
"sick",0.97349164245716,0.97852862335621,0.97826266964198,0.97852862335621,0.97852792163137,0.978791770171081,0.97905702216047,0.978967669197554
"sonar",0.573095238095238,0.673809523809524,0.602142857142857,0.631666666666667,0.635952380952381,0.624285714285714,0.63,0.644444444444444
"tic-tac-toe",0.758837719298246,0.818377192982456,0.87469298245614,0.873728070175439,0.864331140350877,0.924879385964912,0.884577850877193,0.906337719298246
"vote",0.933562367864693,0.942706131078224,0.928646934460888,0.949630021141649,0.9473044397463,0.956501057082452,0.955311839323467,0.953453136011276
"Average",0.784101436157017,0.807048338243332,0.82036309333714,0.813151014735006,0.821177910235254,0.825124856678417,0.819540828570253,0.823608619144349
"RankSum",100,78,51,60,54,54,54,49
