"","3","5","10","20","30","PureDT"
"australian",0.840579710144927,0.852173913043478,0.853623188405797,0.853623188405797,0.856521739130435,0.834782608695652
"breast",0.936997929606625,0.921262939958592,0.915548654244306,0.924120082815735,0.922691511387164,0.928426501035197
"breastcancer",0.720443349753695,0.709852216748769,0.73435960591133,0.717118226600985,0.720689655172414,0.702832512315271
"diabetes",0.726674641148325,0.730553656869446,0.729289131920711,0.731903622693096,0.729323308270677,0.7161995898838
"heart",0.722222222222222,0.714814814814815,0.744444444444444,0.733333333333333,0.72962962962963,0.748148148148148
"hepatitis",0.807916666666667,0.795,0.795,0.800833333333333,0.794583333333333,0.820416666666667
"ionosphere",0.828730158730159,0.803174603174603,0.788888888888889,0.783174603174603,0.78031746031746,0.864603174603175
"labor",0.773333333333333,0.773333333333333,0.74,0.705555555555556,0.705555555555556,0.793333333333333
"liver-disorders",0.574117647058824,0.573865546218487,0.573781512605042,0.582689075630252,0.588487394957983,0.615882352941176
"mushroom",0.99926123522319,0.999015232763165,0.999015232763165,0.997661461836293,0.997661461836293,1
"sick",0.978000224551949,0.977999522827109,0.977999522827109,0.977734270837719,0.977734270837719,0.97905702216047
"sonar",0.626190476190476,0.621190476190476,0.625476190476191,0.63,0.639761904761905,0.63
"tic-tac-toe",0.762050438596491,0.786063596491228,0.788201754385965,0.776754385964912,0.774627192982456,0.884577850877193
"vote",0.949630021141649,0.951902748414376,0.951902748414376,0.954175475687104,0.954175475687104,0.955311839323467
"Average",0.803296289597752,0.80072875720342,0.801252205377666,0.797762615419194,0.797982849561438,0.819540828570253
"RankSum",49,55,50,47,51,31
