"","3","5","10","20","30","CentJ48"
"australian",0.795652173913044,0.810144927536232,0.826086956521739,0.852173913043478,0.852173913043478,0.82463768115942
"breast",0.902712215320911,0.932712215320911,0.935569358178054,0.926977225672878,0.936997929606625,0.92703933747412
"breastcancer",0.6814039408867,0.673768472906404,0.674261083743842,0.667241379310345,0.674384236453202,0.681896551724138
"diabetes",0.681117566643882,0.687542720437457,0.679784688995215,0.70580997949419,0.704511278195489,0.712303485987697
"heart",0.618518518518518,0.640740740740741,0.696296296296296,0.703703703703704,0.7,0.740740740740741
"hepatitis",0.76875,0.75625,0.775416666666667,0.80125,0.80125,0.801666666666667
"ionosphere",0.826587301587302,0.843571428571429,0.843571428571429,0.840714285714286,0.826428571428571,0.897380952380952
"labor",0.843333333333333,0.826666666666667,0.826666666666667,0.822222222222222,0.822222222222222,0.826666666666667
"liver-disorders",0.59109243697479,0.596974789915966,0.599831932773109,0.558655462184874,0.564705882352941,0.654957983193277
"mushroom",0.989784232817698,0.990276995134483,0.990276995134483,0.993230539448252,0.993230539448252,1
"sick",0.97879317362076,0.97852792163137,0.97799741765259,0.97693640969503,0.97667115770564,0.978791770171081
"sonar",0.596190476190476,0.610714285714286,0.600952380952381,0.581904761904762,0.601428571428571,0.624285714285714
"tic-tac-toe",0.764199561403509,0.79344298245614,0.804890350877193,0.812127192982456,0.81422149122807,0.924879385964912
"vote",0.945031712473573,0.949577167019028,0.951902748414376,0.9473044397463,0.9473044397463,0.956501057082452
"Average",0.784511903120321,0.792207951003651,0.798821783674574,0.799303679651627,0.801109302347097,0.825124856678417
"RankSum",64,53,48,53,46,23
