"","3","5","10","20","30","PurePART"
"australian",0.836231884057971,0.850724637681159,0.844927536231884,0.852173913043478,0.844927536231884,0.83719806763285
"breast",0.932691511387164,0.931262939958592,0.942753623188406,0.938426501035197,0.941304347826087,0.935093167701863
"breastcancer",0.685098522167488,0.706034482758621,0.713054187192118,0.712684729064039,0.709113300492611,0.695771756978654
"diabetes",0.724196855775803,0.716387559808612,0.728041695146958,0.730656185919344,0.730639097744361,0.716228070175439
"heart",0.748148148148148,0.751851851851852,0.792592592592593,0.740740740740741,0.755555555555556,0.74320987654321
"hepatitis",0.756666666666667,0.756666666666667,0.781666666666667,0.7575,0.764166666666667,0.820138888888889
"ionosphere",0.868809523809524,0.866031746031746,0.857380952380952,0.891746031746032,0.886031746031746,0.872619047619048
"labor",0.726666666666667,0.776666666666667,0.776666666666667,0.766666666666667,0.766666666666667,0.81
"liver-disorders",0.558991596638655,0.585210084033613,0.600084033613445,0.625714285714286,0.617058823529412,0.617058823529412
"mushroom",0.99852353080181,0.999261538181884,0.999015232763165,0.999015232763165,0.999015232763165,1
"sick",0.977998821102269,0.977205170308619,0.977999522827109,0.976939918319229,0.977205170308619,0.978967669197554
"sonar",0.606904761904762,0.611904761904762,0.635476190476191,0.616666666666667,0.616904761904762,0.644444444444444
"tic-tac-toe",0.875789473684211,0.877905701754386,0.894561403508772,0.894594298245614,0.877850877192982,0.906337719298246
"vote",0.951849894291755,0.9473044397463,0.951849894291755,0.954175475687104,0.951902748414376,0.953453136011276
"Average",0.803469132650207,0.811029874810963,0.821147871253334,0.818407188972255,0.817024466523492,0.823608619144349
"RankSum",71,58,38,40,42,38
