"","3","5","10","20","30","CentJ48","CentDT","CentPART"
"australian",0.846376811594203,0.86231884057971,0.853623188405797,0.857971014492754,0.857971014492754,0.82463768115942,0.834782608695652,0.83719806763285
"breast",0.936977225672878,0.936997929606625,0.936977225672878,0.929834368530021,0.934120082815735,0.92703933747412,0.928426501035197,0.935093167701863
"breastcancer",0.681527093596059,0.702709359605911,0.713177339901478,0.723891625615764,0.720197044334975,0.681896551724138,0.702832512315271,0.695771756978654
"diabetes",0.711073137388927,0.733168147641832,0.729306220095694,0.730587833219412,0.731869446343131,0.712303485987697,0.7161995898838,0.716228070175439
"heart",0.733333333333333,0.733333333333333,0.762962962962963,0.751851851851852,0.77037037037037,0.740740740740741,0.748148148148148,0.74320987654321
"hepatitis",0.769583333333333,0.7575,0.795416666666667,0.77,0.76375,0.801666666666667,0.820416666666667,0.820138888888889
"ionosphere",0.857460317460317,0.851904761904762,0.840396825396825,0.84031746031746,0.814761904761905,0.897380952380952,0.864603174603175,0.872619047619048
"labor",0.84,0.776666666666667,0.76,0.822222222222222,0.7,0.826666666666667,0.793333333333333,0.81
"liver-disorders",0.538319327731092,0.570420168067227,0.57655462184874,0.585042016806723,0.596974789915966,0.654957983193277,0.615882352941176,0.617058823529412
"mushroom",0.999015081283818,0.998522773405074,0.998522924884421,0.997907615775665,0.998522621925727,1,1,1
"sick",0.976673964604999,0.978000224551949,0.97799811937743,0.97826337136682,0.97773286738804,0.978791770171081,0.97905702216047,0.978967669197554
"sonar",0.608095238095238,0.615714285714286,0.65,0.650238095238095,0.620952380952381,0.624285714285714,0.63,0.644444444444444
"tic-tac-toe",0.824616228070175,0.837116228070175,0.852861842105263,0.835164473684211,0.864364035087719,0.924879385964912,0.884577850877193,0.906337719298246
"vote",0.945031712473573,0.951902748414376,0.951902748414376,0.951902748414376,0.954175475687104,0.956501057082452,0.955311839323467,0.953453136011276
"Average",0.804863057474139,0.807591104825852,0.814264334695181,0.816085335538241,0.807554431005415,0.825124856678417,0.819540828570253,0.823608619144349
"RankSum",85,71,62,61,66,55,52,49
