@relation mushroom-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last

@attribute cap-shapexb numeric
@attribute cap-shapexc numeric
@attribute cap-shapexf numeric
@attribute cap-shapexk numeric
@attribute cap-shapexs numeric
@attribute cap-shapexx numeric
@attribute cap-surfacexf numeric
@attribute cap-surfacexg numeric
@attribute cap-surfacexs numeric
@attribute cap-surfacexy numeric
@attribute cap-colorxb numeric
@attribute cap-colorxc numeric
@attribute cap-colorxe numeric
@attribute cap-colorxg numeric
@attribute cap-colorxn numeric
@attribute cap-colorxp numeric
@attribute cap-colorxr numeric
@attribute cap-colorxu numeric
@attribute cap-colorxw numeric
@attribute cap-colorxy numeric
@attribute bruises? numeric
@attribute odorxa numeric
@attribute odorxc numeric
@attribute odorxf numeric
@attribute odorxl numeric
@attribute odorxm numeric
@attribute odorxn numeric
@attribute odorxp numeric
@attribute odorxs numeric
@attribute odorxy numeric
@attribute gill-attachmentxa numeric
@attribute gill-attachmentxd numeric
@attribute gill-attachmentxf numeric
@attribute gill-attachmentxn numeric
@attribute gill-spacingxc numeric
@attribute gill-spacingxd numeric
@attribute gill-spacingxw numeric
@attribute gill-size numeric
@attribute gill-colorxb numeric
@attribute gill-colorxe numeric
@attribute gill-colorxg numeric
@attribute gill-colorxh numeric
@attribute gill-colorxk numeric
@attribute gill-colorxn numeric
@attribute gill-colorxo numeric
@attribute gill-colorxp numeric
@attribute gill-colorxr numeric
@attribute gill-colorxu numeric
@attribute gill-colorxw numeric
@attribute gill-colorxy numeric
@attribute stalk-shape numeric
@attribute stalk-rootxb numeric
@attribute stalk-rootxc numeric
@attribute stalk-rootxe numeric
@attribute stalk-rootxr numeric
@attribute stalk-rootxu numeric
@attribute stalk-rootxz numeric
@attribute stalk-surface-above-ringxf numeric
@attribute stalk-surface-above-ringxk numeric
@attribute stalk-surface-above-ringxs numeric
@attribute stalk-surface-above-ringxy numeric
@attribute stalk-surface-below-ringxf numeric
@attribute stalk-surface-below-ringxk numeric
@attribute stalk-surface-below-ringxs numeric
@attribute stalk-surface-below-ringxy numeric
@attribute stalk-color-above-ringxb numeric
@attribute stalk-color-above-ringxc numeric
@attribute stalk-color-above-ringxe numeric
@attribute stalk-color-above-ringxg numeric
@attribute stalk-color-above-ringxn numeric
@attribute stalk-color-above-ringxo numeric
@attribute stalk-color-above-ringxp numeric
@attribute stalk-color-above-ringxw numeric
@attribute stalk-color-above-ringxy numeric
@attribute stalk-color-below-ringxb numeric
@attribute stalk-color-below-ringxc numeric
@attribute stalk-color-below-ringxe numeric
@attribute stalk-color-below-ringxg numeric
@attribute stalk-color-below-ringxn numeric
@attribute stalk-color-below-ringxo numeric
@attribute stalk-color-below-ringxp numeric
@attribute stalk-color-below-ringxw numeric
@attribute stalk-color-below-ringxy numeric
@attribute veil-type numeric
@attribute veil-colorxn numeric
@attribute veil-colorxo numeric
@attribute veil-colorxw numeric
@attribute veil-colorxy numeric
@attribute ring-numberxn numeric
@attribute ring-numberxo numeric
@attribute ring-numberxt numeric
@attribute ring-typexc numeric
@attribute ring-typexe numeric
@attribute ring-typexf numeric
@attribute ring-typexl numeric
@attribute ring-typexn numeric
@attribute ring-typexp numeric
@attribute ring-typexs numeric
@attribute ring-typexz numeric
@attribute spore-print-colorxb numeric
@attribute spore-print-colorxh numeric
@attribute spore-print-colorxk numeric
@attribute spore-print-colorxn numeric
@attribute spore-print-colorxo numeric
@attribute spore-print-colorxr numeric
@attribute spore-print-colorxu numeric
@attribute spore-print-colorxw numeric
@attribute spore-print-colorxy numeric
@attribute populationxa numeric
@attribute populationxc numeric
@attribute populationxn numeric
@attribute populationxs numeric
@attribute populationxv numeric
@attribute populationxy numeric
@attribute habitatxd numeric
@attribute habitatxg numeric
@attribute habitatxl numeric
@attribute habitatxm numeric
@attribute habitatxp numeric
@attribute habitatxu numeric
@attribute habitatxw numeric
@attribute class {e,p}

@data
0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,p
0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,e
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,e
0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,p
0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,e
0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,e
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,e
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,e
0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,p
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,e
