"","x"
"1","measures-Accuracy-all:RuleMatchCount.J48:0.000267164216145144"
"2","measures-Accuracy-all:RuleMatchWeighted.J48:0.00138299512576012"
"3","measures-Accuracy-all:RuleMatchCount.PART:0.0000314209008549504"
"4","measures-Accuracy-all:RuleMatchWeighted.PART:0.00182375272335611"
"5","measures-Accuracy-all:RuleMatchCount.DT:0.0288924536536949"
"6","measures-Accuracy-all:RuleMatchWeighted.DT:0.139134390593327"
"7","measures-Accuracy-all:RuleMatchCount.Rand:0.000609471915765325"
"8","measures-Accuracy-all:RuleMatchWeighted.Rand:0.104948385866929"
"9","measures-FMeasureWeightedAvg-all:RuleMatchCount.J48:0.00131181062094121"
"10","measures-FMeasureWeightedAvg-all:RuleMatchWeighted.J48:0.0342327625775495"
"11","measures-FMeasureWeightedAvg-all:RuleMatchCount.PART:0.000028007182633405"
"12","measures-FMeasureWeightedAvg-all:RuleMatchWeighted.PART:0.00108510438597453"
"13","measures-FMeasureWeightedAvg-all:RuleMatchCount.DT:0.000881297582261076"
"14","measures-FMeasureWeightedAvg-all:RuleMatchWeighted.DT:0.000443760733413456"
"15","measures-FMeasureWeightedAvg-all:RuleMatchCount.Rand:0.000219892456845838"
"16","measures-FMeasureWeightedAvg-all:RuleMatchWeighted.Rand:0.00492708984345569"
"17","measures-PrecisionWeightedAvg-all:RuleMatchCount.J48:0.00609995588815193"
"18","measures-PrecisionWeightedAvg-all:RuleMatchWeighted.J48:0.00684407392242048"
"19","measures-PrecisionWeightedAvg-all:RuleMatchCount.PART:0.000416794524540798"
"20","measures-PrecisionWeightedAvg-all:RuleMatchWeighted.PART:0.0449189675600455"
"21","measures-PrecisionWeightedAvg-all:RuleMatchCount.DT:0.0184971256391998"
"22","measures-PrecisionWeightedAvg-all:RuleMatchWeighted.DT:0.872589210645601"
"23","measures-PrecisionWeightedAvg-all:RuleMatchCount.Rand:0.0114442744241411"
"24","measures-PrecisionWeightedAvg-all:RuleMatchWeighted.Rand:0.0674646376878217"
"25","measures-RecallWeightedAvg-all:RuleMatchCount.J48:0.000267164216145144"
"26","measures-RecallWeightedAvg-all:RuleMatchWeighted.J48:0.00138299512576012"
"27","measures-RecallWeightedAvg-all:RuleMatchCount.PART:0.0000314209008549504"
"28","measures-RecallWeightedAvg-all:RuleMatchWeighted.PART:0.00182375272335611"
"29","measures-RecallWeightedAvg-all:RuleMatchCount.DT:0.0288924536536949"
"30","measures-RecallWeightedAvg-all:RuleMatchWeighted.DT:0.139134390593327"
"31","measures-RecallWeightedAvg-all:RuleMatchCount.Rand:0.000609471915765325"
"32","measures-RecallWeightedAvg-all:RuleMatchWeighted.Rand:0.104948385866929"
