"","RuleMatchCount-PART","RuleMatchWeighted-PART","RuleMatchCount-J48","RuleMatchWeighted-J48","RuleMatchCount-DT","PureJ48","PureDT","PurePART","RuleMatchCount-Rand","RuleMatchWeighted-Rand"
"australian",0.802962636626898,0.844849457869501,0.804296217021111,0.824732265440993,0.844029106392301,0.824631127205348,0.835225059658043,0.83757848139392,0.839407299701208,0.85650977513889
"breast",0.935812856099428,0.942270041264657,0.941387462943586,0.935092331429831,0.929791162011828,0.926549936965269,0.928077699614001,0.934933412484867,0.951120720307749,0.937943344397235
"breastcancer",0.666162215723327,0.658344905303881,0.65637111748976,0.645628608371347,0.694372546169757,0.67298622285933,0.678808943888135,0.672313348769405,0.664276899002308,0.653691166974522
"diabetes",0.718724582830526,0.713138034143508,0.646847671405505,0.645285645835795,0.716875435761147,0.709629490860067,0.705648349035834,0.708715114494742,0.706610700829937,0.692101157611712
"heart",0.76465416306599,0.790707419114001,0.700599425777592,0.693403953341229,0.752335060953534,0.741919746402403,0.749025589532828,0.74487594249462,0.754866588539788,0.736616543064998
"hepatitis",0.76366052914234,0.778673966093506,0.775605342632726,0.750852867105515,0.831915433603812,0.790614678092189,0.81054559957145,0.812710345386422,0.811379012655816,0.792394134813675
"ionosphere",0.815702721131579,0.855336009652346,0.862608804883505,0.827450454364755,0.860275539530964,0.895615732889502,0.861952055763517,0.870905329665578,0.869692589762808,0.846635138560779
"labor",0.698412698412698,0.772810111699001,0.894444444444444,0.833127572016461,0.760912698412698,0.828497942386831,0.799051878061166,0.811056494282301,0.825,0.793386243386243
"liver-disorders",0.62274072643868,0.595440119214361,0.598292971318176,0.595369216645379,0.522951627276926,0.654320756639994,0.60171878736817,0.608862226943094,0.570944370532659,0.599118833195936
"mushroom",0.998768813611571,0.999015141500983,0.990640159371204,0.990270460050361,0.999014707971514,1,1,1,0.999507377922085,0.998769026751472
"sick",0.973978500382483,0.978108605762607,0.977730416903024,0.978103083713311,0.977279008002476,0.978367024938319,0.978310615393095,0.978316100262803,0.978284502204288,0.977835962500183
"sonar",0.614676276346757,0.624871096729379,0.615087094142552,0.581481137855365,0.671383124884269,0.612277435243677,0.630816239189237,0.645599111065051,0.63136400778743,0.616921110887708
"tic-tac-toe",0.843582464278511,0.89191935459262,0.80183542703212,0.792094274490379,0.823444671445481,0.924910552434406,0.884692809533611,0.906557043766466,0.862615608908709,0.874718257172134
"vote",0.823113332509938,0.952332915687891,0.935953805774532,0.952078651496223,0.954552389969557,0.956352145669006,0.955438562079861,0.953605888419403,0.949983651246282,0.94999423903179
"Average",0.788782322614338,0.814129798473446,0.800121454367131,0.788926465868353,0.809938036599019,0.822619485184739,0.815665156334925,0.820430631387762,0.815360952100076,0.809045352391948
"RankSum",97,67,99,114,71,57,63,51,64,87
