"","RuleMatchCount-PART","RuleMatchWeighted-PART","RuleMatchCount-J48","RuleMatchWeighted-J48","RuleMatchCount-DT","RuleMatchWeighted-DT","PureJ48","PureDT","PurePART","RuleMatchCount-Rand","RuleMatchWeighted-Rand"
"australian",0.802898550724638,0.844927536231884,0.807246376811594,0.826086956521739,0.843478260869565,0.853623188405797,0.82463768115942,0.834782608695652,0.83719806763285,0.852173913043478,0.853623188405797
"breast",0.937018633540373,0.942753623188406,0.94128364389234,0.935569358178054,0.929834368530021,0.915548654244306,0.92703933747412,0.928426501035197,0.935093167701863,0.939875776397516,0.936977225672878
"breastcancer",0.692487684729064,0.713054187192118,0.667364532019704,0.674261083743842,0.730788177339901,0.73435960591133,0.681896551724138,0.702832512315271,0.695771756978654,0.720197044334975,0.713177339901478
"diabetes",0.729323308270677,0.728041695146958,0.675837320574163,0.679784688995215,0.733168147641832,0.729289131920711,0.712303485987697,0.7161995898838,0.716228070175439,0.738397129186603,0.729306220095694
"heart",0.766666666666667,0.792592592592593,0.707407407407407,0.696296296296296,0.755555555555556,0.744444444444444,0.740740740740741,0.748148148148148,0.74320987654321,0.748148148148148,0.762962962962963
"hepatitis",0.75,0.781666666666667,0.774583333333333,0.775416666666667,0.826666666666667,0.795,0.801666666666667,0.820416666666667,0.820138888888889,0.8075,0.795416666666667
"ionosphere",0.82015873015873,0.857380952380952,0.869047619047619,0.843571428571429,0.868730158730159,0.788888888888889,0.897380952380952,0.864603174603175,0.872619047619048,0.883095238095238,0.840396825396825
"labor",0.67,0.776666666666667,0.843333333333333,0.826666666666667,0.756666666666667,0.74,0.826666666666667,0.793333333333333,0.81,0.79,0.76
"liver-disorders",0.625714285714286,0.600084033613445,0.600084033613445,0.599831932773109,0.553697478991597,0.573781512605042,0.654957983193277,0.615882352941176,0.617058823529412,0.622689075630252,0.57655462184874
"mushroom",0.998768927344446,0.999015232763165,0.99064599882452,0.990276995134483,0.999014778325123,0.999015232763165,1,1,1,0.999261538181884,0.998522924884421
"sick",0.9740214447111,0.977999522827109,0.97773286738804,0.97799741765259,0.977733569112879,0.977999522827109,0.978791770171081,0.97905702216047,0.978967669197554,0.97826266964198,0.97799811937743
"sonar",0.621190476190476,0.635476190476191,0.620476190476191,0.600952380952381,0.669285714285714,0.625476190476191,0.624285714285714,0.63,0.644444444444444,0.602142857142857,0.65
"tic-tac-toe",0.847609649122807,0.894561403508772,0.812160087719298,0.804890350877193,0.820427631578947,0.788201754385965,0.924879385964912,0.884577850877193,0.906337719298246,0.87469298245614,0.852861842105263
"vote",0.824524312896406,0.951849894291755,0.935940803382664,0.951902748414376,0.954281183932347,0.951902748414376,0.956501057082452,0.955311839323467,0.953453136011276,0.928646934460888,0.951902748414376
"Average",0.790027333576405,0.821147871253334,0.801653110558832,0.798821783674574,0.815666311301927,0.801252205377666,0.825124856678417,0.819540828570254,0.823608619144349,0.82036309333714,0.814264334695181
"RankSum",107,70,112,118,75,96,69,67,62,63,79
