"","RuleMatchCount-PART x RuleMatchWeighted-PART","RuleMatchCount-PART x RuleMatchWeighted-PART p-value","RuleMatchCount-PART x RuleMatchCount-J48","RuleMatchCount-PART x RuleMatchCount-J48 p-value","RuleMatchCount-PART x RuleMatchWeighted-J48","RuleMatchCount-PART x RuleMatchWeighted-J48 p-value","RuleMatchCount-PART x RuleMatchCount-DT","RuleMatchCount-PART x RuleMatchCount-DT p-value","RuleMatchCount-PART x PureJ48","RuleMatchCount-PART x PureJ48 p-value","RuleMatchCount-PART x PureDT","RuleMatchCount-PART x PureDT p-value","RuleMatchCount-PART x PurePART","RuleMatchCount-PART x PurePART p-value","RuleMatchCount-PART x RuleMatchCount-Rand","RuleMatchCount-PART x RuleMatchCount-Rand p-value","RuleMatchCount-PART x RuleMatchWeighted-Rand","RuleMatchCount-PART x RuleMatchWeighted-Rand p-value","RuleMatchWeighted-PART x RuleMatchCount-J48","RuleMatchWeighted-PART x RuleMatchCount-J48 p-value","RuleMatchWeighted-PART x RuleMatchWeighted-J48","RuleMatchWeighted-PART x RuleMatchWeighted-J48 p-value","RuleMatchWeighted-PART x RuleMatchCount-DT","RuleMatchWeighted-PART x RuleMatchCount-DT p-value","RuleMatchWeighted-PART x PureJ48","RuleMatchWeighted-PART x PureJ48 p-value","RuleMatchWeighted-PART x PureDT","RuleMatchWeighted-PART x PureDT p-value","RuleMatchWeighted-PART x PurePART","RuleMatchWeighted-PART x PurePART p-value","RuleMatchWeighted-PART x RuleMatchCount-Rand","RuleMatchWeighted-PART x RuleMatchCount-Rand p-value","RuleMatchWeighted-PART x RuleMatchWeighted-Rand","RuleMatchWeighted-PART x RuleMatchWeighted-Rand p-value","RuleMatchCount-J48 x RuleMatchWeighted-J48","RuleMatchCount-J48 x RuleMatchWeighted-J48 p-value","RuleMatchCount-J48 x RuleMatchCount-DT","RuleMatchCount-J48 x RuleMatchCount-DT p-value","RuleMatchCount-J48 x PureJ48","RuleMatchCount-J48 x PureJ48 p-value","RuleMatchCount-J48 x PureDT","RuleMatchCount-J48 x PureDT p-value","RuleMatchCount-J48 x PurePART","RuleMatchCount-J48 x PurePART p-value","RuleMatchCount-J48 x RuleMatchCount-Rand","RuleMatchCount-J48 x RuleMatchCount-Rand p-value","RuleMatchCount-J48 x RuleMatchWeighted-Rand","RuleMatchCount-J48 x RuleMatchWeighted-Rand p-value","RuleMatchWeighted-J48 x RuleMatchCount-DT","RuleMatchWeighted-J48 x RuleMatchCount-DT p-value","RuleMatchWeighted-J48 x PureJ48","RuleMatchWeighted-J48 x PureJ48 p-value","RuleMatchWeighted-J48 x PureDT","RuleMatchWeighted-J48 x PureDT p-value","RuleMatchWeighted-J48 x PurePART","RuleMatchWeighted-J48 x PurePART p-value","RuleMatchWeighted-J48 x RuleMatchCount-Rand","RuleMatchWeighted-J48 x RuleMatchCount-Rand p-value","RuleMatchWeighted-J48 x RuleMatchWeighted-Rand","RuleMatchWeighted-J48 x RuleMatchWeighted-Rand p-value","RuleMatchCount-DT x PureJ48","RuleMatchCount-DT x PureJ48 p-value","RuleMatchCount-DT x PureDT","RuleMatchCount-DT x PureDT p-value","RuleMatchCount-DT x PurePART","RuleMatchCount-DT x PurePART p-value","RuleMatchCount-DT x RuleMatchCount-Rand","RuleMatchCount-DT x RuleMatchCount-Rand p-value","RuleMatchCount-DT x RuleMatchWeighted-Rand","RuleMatchCount-DT x RuleMatchWeighted-Rand p-value","PureJ48 x PureDT","PureJ48 x PureDT p-value","PureJ48 x PurePART","PureJ48 x PurePART p-value","PureJ48 x RuleMatchCount-Rand","PureJ48 x RuleMatchCount-Rand p-value","PureJ48 x RuleMatchWeighted-Rand","PureJ48 x RuleMatchWeighted-Rand p-value","PureDT x PurePART","PureDT x PurePART p-value","PureDT x RuleMatchCount-Rand","PureDT x RuleMatchCount-Rand p-value","PureDT x RuleMatchWeighted-Rand","PureDT x RuleMatchWeighted-Rand p-value","PurePART x RuleMatchCount-Rand","PurePART x RuleMatchCount-Rand p-value","PurePART x RuleMatchWeighted-Rand","PurePART x RuleMatchWeighted-Rand p-value","RuleMatchCount-Rand x RuleMatchWeighted-Rand","RuleMatchCount-Rand x RuleMatchWeighted-Rand p-value"
"Accuracy","< (04x10)","0.0686801607303541","> (09x05)","0.451258974150342","> (09x05)","0.660346099350424","< (06x08)","0.414446222764492","< (04x10)","0.0900820575789648","< (05x08)","0.184235113180511","< (05x09)","0.116551957746077","< (04x10)","0.051588654139441","< (05x09)","0.131904094905011","> (12x02)","0.0516462183078041","> (11x03)","0.0787915035643527","> (11x03)","0.102639775576908","< (05x09)","0.414446222764492","> (08x06)","0.414446222764492","t (07x07)","1","> (08x05)","0.624700399444191","t (07x07)","0.850618403625297","> (07x06)","0.624700399444191","< (04x10)","0.258486052233535","< (03x11)","0.0383005285343547","< (03x11)","0.0383005285343547","< (03x11)","0.0170556294065931","< (01x13)","0.0170556294065931","< (03x11)","0.0445533169117585","< (04x10)","0.131904094905011","< (02x12)","0.0238241460165172","< (03x11)","0.0328100197002589","< (02x12)","0.0143538943534938","< (03x11)","0.0686801607303541","< (02x11)","0.0360316862182336","< (06x08)","0.660346099350424","< (04x10)","0.232966059706807","< (06x08)","0.315174424989568","< (04x08)","0.2553403615339","< (04x10)","0.187401192001721","< (05x08)","0.888840680809476","< (05x08)","1","> (08x06)","0.801732212656982","> (09x05)","0.346373280006178","< (05x08)","0.184235113180511","t (07x07)","0.753610350301361","t (07x07)","0.850618403625297","t (07x07)","0.850618403625297","> (10x04)","0.346373280006178","t (07x07)","0.753610350301361"
"PrecisionWeightedAvg","< (04x10)","0.187401192001721","> (10x04)","0.232966059706807","> (08x06)","0.660346099350424","t (07x07)","0.850618403625297","< (05x09)","0.315174424989568","t (07x07)","0.900085797418725","< (06x08)","0.615518503675301","< (06x08)","0.315174424989568","< (06x08)","0.209286554781767","> (12x02)","0.0328100197002589","> (11x03)","0.0900820575789648","> (10x04)","0.131904094905011","< (04x10)","0.379471360411207","> (09x05)","0.131904094905011","> (09x05)","0.346373280006178","t (07x07)","0.900085797418725","> (08x06)","0.615518503675301","< (05x09)","0.0787915035643527","< (05x09)","0.315174424989568","< (04x10)","0.0516462183078041","< (03x11)","0.0516462183078041","< (03x11)","0.0280078166969702","< (03x11)","0.0787915035643527","< (03x11)","0.0201936704010222","< (06x08)","0.615518503675301","< (04x10)","0.187401192001721","< (05x09)","0.315174424989568","< (03x11)","0.102639775576908","< (04x10)","0.0900820575789648","< (03x11)","0.0383005285343547","< (05x09)","0.414446222764492","< (05x09)","0.414446222764492","< (06x08)","0.489853845560898","< (05x09)","0.102639775576908","< (03x11)","0.102639775576908","> (08x05)","0.2634941841412","> (08x05)","0.401678166469773","> (08x06)","0.900085797418725","t (07x07)","0.900085797418725","< (03x10)","0.107973208797929","< (06x08)","0.379471360411207","< (03x11)","0.0445533169117585","t (07x07)","0.615518503675301","< (04x10)","0.187401192001721","> (09x05)","0.379471360411207"
"RecallWeightedAvg","< (04x10)","0.0686801607303541","> (09x05)","0.451258974150342","> (09x05)","0.660346099350424","< (06x08)","0.414446222764492","< (04x10)","0.0900820575789648","< (05x08)","0.184235113180511","< (05x09)","0.116551957746077","< (04x10)","0.051588654139441","< (05x09)","0.131904094905011","> (12x02)","0.0516462183078041","> (11x03)","0.0787915035643527","> (11x03)","0.102639775576908","< (05x09)","0.414446222764492","> (08x06)","0.414446222764492","t (07x07)","1","> (08x05)","0.624700399444191","t (07x07)","0.850618403625297","> (07x06)","0.624700399444191","< (04x10)","0.258486052233535","< (03x11)","0.0383005285343547","< (03x11)","0.0383005285343547","< (03x11)","0.0170556294065931","< (01x13)","0.0170556294065931","< (03x11)","0.0445533169117585","< (04x10)","0.131904094905011","< (02x12)","0.0238241460165172","< (03x11)","0.0328100197002589","< (02x12)","0.0143538943534938","< (03x11)","0.0686801607303541","< (02x11)","0.0360316862182336","< (06x08)","0.660346099350424","< (04x10)","0.232966059706807","< (06x08)","0.315174424989568","< (04x09)","0.234811289315166","< (04x10)","0.187401192001721","< (05x08)","0.888840680809476","< (05x08)","1","> (08x06)","0.801732212656982","> (09x05)","0.346373280006178","< (05x08)","0.184235113180511","t (07x07)","0.753610350301361","t (07x07)","0.850618403625297","t (07x07)","0.850618403625297","> (10x04)","0.346373280006178","t (07x07)","0.753610350301361"
"FMeasureWeightedAvg","< (04x10)","0.116551957746077","> (08x06)","0.572081696065726","> (08x06)","0.753610350301361","t (07x07)","0.451258974150342","< (04x10)","0.0596604735623143","< (05x09)","0.167253563317042","< (05x09)","0.0787915035643527","< (04x10)","0.0516462183078041","< (05x09)","0.258486052233535","> (12x02)","0.0596604735623143","> (11x03)","0.102639775576908","> (10x04)","0.209286554781767","< (05x09)","0.187401192001721","< (06x08)","0.801732212656982","< (06x08)","0.414446222764492","t (07x07)","0.949944493522","< (06x08)","0.753610350301361","t (07x07)","0.949944493522","< (05x09)","0.414446222764492","< (04x10)","0.0686801607303541","< (03x11)","0.0445533169117585","< (02x12)","0.0170556294065931","< (01x13)","0.0170556294065931","< (04x10)","0.0900820575789648","< (04x10)","0.285881444542875","< (04x10)","0.0787915035643527","< (04x10)","0.0516462183078041","< (03x11)","0.0328100197002589","< (03x11)","0.0900820575789648","< (03x11)","0.0596604735623143","< (05x09)","0.315174424989568","< (04x10)","0.209286554781767","< (05x09)","0.167253563317042","< (05x09)","0.102639775576908","< (04x10)","0.209286554781767","> (07x06)","0.624700399444191","> (08x05)","0.726767806199101","> (08x06)","0.572081696065726","> (09x05)","0.209286554781767","< (03x10)","0.0360316862182336","> (08x06)","0.900085797418725","> (08x06)","0.530158014945287","> (10x04)","0.346373280006178","> (09x05)","0.116551957746077","> (08x06)","0.615518503675301"
"Summary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"wins c1","RuleMatchCount-PART","0","RuleMatchCount-PART","4","RuleMatchCount-PART","4","RuleMatchCount-PART","0","RuleMatchCount-PART","0","RuleMatchCount-PART","0","RuleMatchCount-PART","0","RuleMatchCount-PART","0","RuleMatchCount-PART","0","RuleMatchWeighted-PART","4","RuleMatchWeighted-PART","4","RuleMatchWeighted-PART","4","RuleMatchWeighted-PART","0","RuleMatchWeighted-PART","3","RuleMatchWeighted-PART","1","RuleMatchWeighted-PART","2","RuleMatchWeighted-PART","1","RuleMatchCount-J48","2","RuleMatchCount-J48","0","RuleMatchCount-J48","0","RuleMatchCount-J48","0","RuleMatchCount-J48","0","RuleMatchCount-J48","0","RuleMatchCount-J48","0","RuleMatchWeighted-J48","0","RuleMatchWeighted-J48","0","RuleMatchWeighted-J48","0","RuleMatchWeighted-J48","0","RuleMatchWeighted-J48","0","RuleMatchWeighted-J48","0","RuleMatchCount-DT","0","RuleMatchCount-DT","0","RuleMatchCount-DT","0","RuleMatchCount-DT","0","RuleMatchCount-DT","0","PureJ48","2","PureJ48","2","PureJ48","4","PureJ48","3","PureDT","0","PureDT","1","PureDT","1","PurePART","1","PurePART","3","RuleMatchCount-Rand","2"
"wins c2","RuleMatchWeighted-PART","4","RuleMatchCount-J48","0","RuleMatchWeighted-J48","0","RuleMatchCount-DT","2","PureJ48","4","PureDT","3","PurePART","4","RuleMatchCount-Rand","4","RuleMatchWeighted-Rand","4","RuleMatchCount-J48","0","RuleMatchWeighted-J48","0","RuleMatchCount-DT","0","PureJ48","4","PureDT","1","PurePART","1","RuleMatchCount-Rand","0","RuleMatchWeighted-Rand","1","RuleMatchWeighted-J48","1","RuleMatchCount-DT","4","PureJ48","4","PureDT","4","PurePART","4","RuleMatchCount-Rand","4","RuleMatchWeighted-Rand","4","RuleMatchCount-DT","4","PureJ48","4","PureDT","4","PurePART","4","RuleMatchCount-Rand","4","RuleMatchWeighted-Rand","4","PureJ48","4","PureDT","4","PurePART","4","RuleMatchCount-Rand","4","RuleMatchWeighted-Rand","4","PureDT","2","PurePART","2","RuleMatchCount-Rand","0","RuleMatchWeighted-Rand","0","PurePART","4","RuleMatchCount-Rand","1","RuleMatchWeighted-Rand","1","RuleMatchCount-Rand","0","RuleMatchWeighted-Rand","1","RuleMatchWeighted-Rand","0"
"ties","Tie","0","Tie","0","Tie","0","Tie","2","Tie","0","Tie","1","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","2","Tie","2","Tie","2","Tie","1","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","1","Tie","0","Tie","2","Tie","2","Tie","3","Tie","0","Tie","2"
"wins c1 sig","RuleMatchCount-PART","0","RuleMatchCount-PART","0","RuleMatchCount-PART","0","RuleMatchCount-PART","0","RuleMatchCount-PART","0","RuleMatchCount-PART","0","RuleMatchCount-PART","0","RuleMatchCount-PART","0","RuleMatchCount-PART","0","RuleMatchWeighted-PART","1","RuleMatchWeighted-PART","0","RuleMatchWeighted-PART","0","RuleMatchWeighted-PART","0","RuleMatchWeighted-PART","0","RuleMatchWeighted-PART","0","RuleMatchWeighted-PART","0","RuleMatchWeighted-PART","0","RuleMatchCount-J48","0","RuleMatchCount-J48","0","RuleMatchCount-J48","0","RuleMatchCount-J48","0","RuleMatchCount-J48","0","RuleMatchCount-J48","0","RuleMatchCount-J48","0","RuleMatchWeighted-J48","0","RuleMatchWeighted-J48","0","RuleMatchWeighted-J48","0","RuleMatchWeighted-J48","0","RuleMatchWeighted-J48","0","RuleMatchWeighted-J48","0","RuleMatchCount-DT","0","RuleMatchCount-DT","0","RuleMatchCount-DT","0","RuleMatchCount-DT","0","RuleMatchCount-DT","0","PureJ48","0","PureJ48","0","PureJ48","0","PureJ48","0","PureDT","0","PureDT","0","PureDT","0","PurePART","0","PurePART","0","RuleMatchCount-Rand","0"
"win c2 sig","RuleMatchWeighted-PART","0","RuleMatchCount-J48","0","RuleMatchWeighted-J48","0","RuleMatchCount-DT","0","PureJ48","0","PureDT","0","PurePART","0","RuleMatchCount-Rand","0","RuleMatchWeighted-Rand","0","RuleMatchCount-J48","0","RuleMatchWeighted-J48","0","RuleMatchCount-DT","0","PureJ48","0","PureDT","0","PurePART","0","RuleMatchCount-Rand","0","RuleMatchWeighted-Rand","0","RuleMatchWeighted-J48","0","RuleMatchCount-DT","0","PureJ48","2","PureDT","3","PurePART","4","RuleMatchCount-Rand","3","RuleMatchWeighted-Rand","3","RuleMatchCount-DT","0","PureJ48","2","PureDT","2","PurePART","3","RuleMatchCount-Rand","0","RuleMatchWeighted-Rand","3","PureJ48","0","PureDT","0","PurePART","0","RuleMatchCount-Rand","0","RuleMatchWeighted-Rand","0","PureDT","0","PurePART","0","RuleMatchCount-Rand","0","RuleMatchWeighted-Rand","0","PurePART","1","RuleMatchCount-Rand","0","RuleMatchWeighted-Rand","1","RuleMatchCount-Rand","0","RuleMatchWeighted-Rand","0","RuleMatchWeighted-Rand","0"
