"","RuleMatchCount-PART","RuleMatchWeighted-PART","RuleMatchCount-J48","RuleMatchWeighted-J48","RuleMatchCount-DT","RuleMatchWeighted-DT","PureJ48","PureDT","PurePART","RuleMatchCount-Rand","RuleMatchWeighted-Rand"
"australian",81.7391304347826,85.2173913043478,83.9130434782609,85.2173913043478,84.6376811594203,85.3623188405797,82.463768115942,83.4782608695652,83.719806763285,84.4927536231884,85.7971014492754
"breast",94.9875776397515,93.8426501035197,93.8405797101449,92.6977225672878,92.6977225672878,92.4120082815735,92.703933747412,92.8426501035197,93.5093167701863,93.9875776397515,92.9834368530021
"breastcancer",70.935960591133,71.2684729064039,64.9137931034483,66.7241379310345,70.2955665024631,71.7118226600985,68.1896551724138,70.2832512315271,69.5771756978654,70.9729064039409,72.3891625615764
"diabetes",71.8916609706083,73.0656185919344,68.2399179767601,70.580997949419,72.5393028024607,73.1903622693096,71.2303485987697,71.61995898838,71.6228070175439,73.3151059466849,73.0587833219412
"heart",74.0740740740741,74.0740740740741,69.6296296296296,70.3703703703704,74.4444444444444,73.3333333333333,74.0740740740741,74.8148148148148,74.320987654321,75.5555555555556,75.1851851851852
"hepatitis",77,75.75,79.4583333333333,80.125,81.4166666666667,80.0833333333333,80.1666666666667,82.0416666666667,82.0138888888889,79.5,77
"ionosphere",88.8809523809524,89.1746031746032,85.7698412698413,84.0714285714286,83.4523809523809,78.3174603174603,89.7380952380952,86.4603174603175,87.2619047619048,87.4523809523809,84.031746031746
"labor",56.1111111111111,76.6666666666667,85,82.2222222222222,69.4444444444444,70.5555555555556,82.6666666666667,79.3333333333333,81,72.2222222222222,82.2222222222222
"liver-disorders",61.9747899159664,62.5714285714286,55.9075630252101,55.8655462184874,55.9663865546218,58.2689075630252,65.4957983193277,61.5882352941176,61.7058823529412,57.6806722689076,58.5042016806723
"mushroom",99.8399469216367,99.9015232763165,99.3599543138289,99.3230539448252,99.7661461836293,99.7661461836293,100,100,100,99.8769078823793,99.7907615775665
"sick",96.6857535823053,97.6939918319229,97.693640969503,97.693640969503,97.7468317123489,97.7734270837719,97.879177017108,97.905702216047,97.8967669197554,97.852862335621,97.826337136682
"sonar",63.5952380952381,61.6666666666667,59.2142857142857,58.1904761904762,66.9523809523809,63,62.4285714285714,63,64.4444444444444,63.1666666666667,65.0238095238095
"tic-tac-toe",85.0745614035088,89.4594298245614,82.1469298245614,81.2127192982456,81.3114035087719,77.6754385964912,92.4879385964912,88.4577850877193,90.6337719298246,87.3728070175439,83.5164473684211
"vote",83.1395348837209,95.4175475687104,94.4978858350951,94.73044397463,95.4281183932347,95.4175475687104,95.6501057082452,95.5311839323467,95.3453136011276,94.9630021141649,95.1902748414376
"Average",78.9950208574849,81.8407188972254,79.9703855845645,79.9303679651627,80.4356769174683,79.7762615419194,82.5124856678417,81.9540828570254,82.3608619144349,81.3151014735005,81.6085335538241
"RankSum",94,69,117,119,89,94,66,67,64,68,69
