"","RuleMatchCount-PART x RuleMatchWeighted-PART","RuleMatchCount-PART x RuleMatchWeighted-PART p-value","RuleMatchCount-PART x RuleMatchCount-J48","RuleMatchCount-PART x RuleMatchCount-J48 p-value","RuleMatchCount-PART x RuleMatchWeighted-J48","RuleMatchCount-PART x RuleMatchWeighted-J48 p-value","RuleMatchCount-PART x RuleMatchCount-DT","RuleMatchCount-PART x RuleMatchCount-DT p-value","RuleMatchCount-PART x RuleMatchWeighted-DT","RuleMatchCount-PART x RuleMatchWeighted-DT p-value","RuleMatchCount-PART x PureJ48","RuleMatchCount-PART x PureJ48 p-value","RuleMatchCount-PART x PureDT","RuleMatchCount-PART x PureDT p-value","RuleMatchCount-PART x PurePART","RuleMatchCount-PART x PurePART p-value","RuleMatchCount-PART x RuleMatchCount-Rand","RuleMatchCount-PART x RuleMatchCount-Rand p-value","RuleMatchCount-PART x RuleMatchWeighted-Rand","RuleMatchCount-PART x RuleMatchWeighted-Rand p-value","RuleMatchWeighted-PART x RuleMatchCount-J48","RuleMatchWeighted-PART x RuleMatchCount-J48 p-value","RuleMatchWeighted-PART x RuleMatchWeighted-J48","RuleMatchWeighted-PART x RuleMatchWeighted-J48 p-value","RuleMatchWeighted-PART x RuleMatchCount-DT","RuleMatchWeighted-PART x RuleMatchCount-DT p-value","RuleMatchWeighted-PART x RuleMatchWeighted-DT","RuleMatchWeighted-PART x RuleMatchWeighted-DT p-value","RuleMatchWeighted-PART x PureJ48","RuleMatchWeighted-PART x PureJ48 p-value","RuleMatchWeighted-PART x PureDT","RuleMatchWeighted-PART x PureDT p-value","RuleMatchWeighted-PART x PurePART","RuleMatchWeighted-PART x PurePART p-value","RuleMatchWeighted-PART x RuleMatchCount-Rand","RuleMatchWeighted-PART x RuleMatchCount-Rand p-value","RuleMatchWeighted-PART x RuleMatchWeighted-Rand","RuleMatchWeighted-PART x RuleMatchWeighted-Rand p-value","RuleMatchCount-J48 x RuleMatchWeighted-J48","RuleMatchCount-J48 x RuleMatchWeighted-J48 p-value","RuleMatchCount-J48 x RuleMatchCount-DT","RuleMatchCount-J48 x RuleMatchCount-DT p-value","RuleMatchCount-J48 x RuleMatchWeighted-DT","RuleMatchCount-J48 x RuleMatchWeighted-DT p-value","RuleMatchCount-J48 x PureJ48","RuleMatchCount-J48 x PureJ48 p-value","RuleMatchCount-J48 x PureDT","RuleMatchCount-J48 x PureDT p-value","RuleMatchCount-J48 x PurePART","RuleMatchCount-J48 x PurePART p-value","RuleMatchCount-J48 x RuleMatchCount-Rand","RuleMatchCount-J48 x RuleMatchCount-Rand p-value","RuleMatchCount-J48 x RuleMatchWeighted-Rand","RuleMatchCount-J48 x RuleMatchWeighted-Rand p-value","RuleMatchWeighted-J48 x RuleMatchCount-DT","RuleMatchWeighted-J48 x RuleMatchCount-DT p-value","RuleMatchWeighted-J48 x RuleMatchWeighted-DT","RuleMatchWeighted-J48 x RuleMatchWeighted-DT p-value","RuleMatchWeighted-J48 x PureJ48","RuleMatchWeighted-J48 x PureJ48 p-value","RuleMatchWeighted-J48 x PureDT","RuleMatchWeighted-J48 x PureDT p-value","RuleMatchWeighted-J48 x PurePART","RuleMatchWeighted-J48 x PurePART p-value","RuleMatchWeighted-J48 x RuleMatchCount-Rand","RuleMatchWeighted-J48 x RuleMatchCount-Rand p-value","RuleMatchWeighted-J48 x RuleMatchWeighted-Rand","RuleMatchWeighted-J48 x RuleMatchWeighted-Rand p-value","RuleMatchCount-DT x RuleMatchWeighted-DT","RuleMatchCount-DT x RuleMatchWeighted-DT p-value","RuleMatchCount-DT x PureJ48","RuleMatchCount-DT x PureJ48 p-value","RuleMatchCount-DT x PureDT","RuleMatchCount-DT x PureDT p-value","RuleMatchCount-DT x PurePART","RuleMatchCount-DT x PurePART p-value","RuleMatchCount-DT x RuleMatchCount-Rand","RuleMatchCount-DT x RuleMatchCount-Rand p-value","RuleMatchCount-DT x RuleMatchWeighted-Rand","RuleMatchCount-DT x RuleMatchWeighted-Rand p-value","RuleMatchWeighted-DT x PureJ48","RuleMatchWeighted-DT x PureJ48 p-value","RuleMatchWeighted-DT x PureDT","RuleMatchWeighted-DT x PureDT p-value","RuleMatchWeighted-DT x PurePART","RuleMatchWeighted-DT x PurePART p-value","RuleMatchWeighted-DT x RuleMatchCount-Rand","RuleMatchWeighted-DT x RuleMatchCount-Rand p-value","RuleMatchWeighted-DT x RuleMatchWeighted-Rand","RuleMatchWeighted-DT x RuleMatchWeighted-Rand p-value","PureJ48 x PureDT","PureJ48 x PureDT p-value","PureJ48 x PurePART","PureJ48 x PurePART p-value","PureJ48 x RuleMatchCount-Rand","PureJ48 x RuleMatchCount-Rand p-value","PureJ48 x RuleMatchWeighted-Rand","PureJ48 x RuleMatchWeighted-Rand p-value","PureDT x PurePART","PureDT x PurePART p-value","PureDT x RuleMatchCount-Rand","PureDT x RuleMatchCount-Rand p-value","PureDT x RuleMatchWeighted-Rand","PureDT x RuleMatchWeighted-Rand p-value","PurePART x RuleMatchCount-Rand","PurePART x RuleMatchCount-Rand p-value","PurePART x RuleMatchWeighted-Rand","PurePART x RuleMatchWeighted-Rand p-value","RuleMatchCount-Rand x RuleMatchWeighted-Rand","RuleMatchCount-Rand x RuleMatchWeighted-Rand p-value"
"Accuracy","< (01x13)","0.0020976434034589","< (06x08)","0.451258974150342","< (06x08)","0.379471360411207","< (01x13)","0.00574194154874128","< (02x12)","0.0047289220599092","< (01x13)","0.00136666351919497","< (01x13)","0.00136666351919497","< (00x14)","0.0010970505857231","< (02x12)","0.0328100197002589","< (02x12)","0.0047289220599092","> (11x03)","0.0596604735623143","> (10x04)","0.131904094905011","> (08x06)","0.949944493522","< (04x10)","0.346373280006178","< (05x09)","0.148778617087727","< (04x09)","0.0806128145385549","< (02x12)","0.0201936704010222","> (10x04)","0.0596604735623143","> (08x06)","0.379471360411207","< (05x09)","0.285881444542875","< (04x10)","0.0596604735623143","< (04x10)","0.0516462183078041","< (00x13)","0.00166169445798351","< (01x13)","0.0047289220599092","< (01x13)","0.0020976434034589","< (05x09)","0.346373280006178","< (02x12)","0.0120369481070948","< (04x10)","0.0900820575789648","< (04x10)","0.0686801607303541","< (02x12)","0.0038804738522969","< (01x13)","0.0100578003666","< (01x13)","0.0047289220599092","> (07x06)","0.833935414088552","< (03x10)","0.0591720678258595","< (03x10)","0.184235113180511","< (06x07)","0.484641678788314","< (03x11)","0.0170556294065931","< (02x12)","0.0120369481070948","> (11x03)","0.0516462183078041","> (08x06)","0.753610350301361","< (06x08)","0.379471360411207","< (04x10)","0.116551957746077","< (04x10)","0.0686801607303541","> (11x03)","0.0516462183078041","> (09x05)","0.753610350301361","< (05x08)","0.888840680809476","< (05x08)","1","> (13x01)","0.00472892205990916","> (11x03)","0.0787915035643527","< (05x08)","0.184235113180511","> (12x02)","0.0100578003665999","> (11x03)","0.068680160730354","> (12x02)","0.00574194154874119","> (11x03)","0.032810019700259","< (04x10)","0.0787915035643527"
"PrecisionWeightedAvg","< (04x10)","0.0686801607303541","< (06x08)","0.900085797418725","t (07x07)","0.70642711574737","< (03x11)","0.0686801607303541","< (02x12)","0.0445533169117585","< (03x11)","0.0170556294065931","< (02x12)","0.0143538943534938","< (01x13)","0.00694669816590924","< (04x10)","0.131904094905011","< (04x10)","0.258486052233535","> (10x04)","0.131904094905011","> (10x04)","0.116551957746077","> (08x06)","1","< (04x10)","0.346373280006178","< (04x10)","0.131904094905011","< (05x09)","0.315174424989568","< (03x11)","0.0900820575789648","> (08x06)","0.572081696065726","> (09x05)","0.315174424989568","t (07x07)","0.850618403625297","< (03x11)","0.0445533169117585","< (03x11)","0.0328100197002589","< (01x13)","0.00694669816590924","< (01x13)","0.0120369481070948","< (01x13)","0.0120369481070948","< (05x09)","0.167253563317042","< (04x10)","0.0445533169117585","< (04x10)","0.0596604735623143","< (05x09)","0.0383005285343547","< (02x12)","0.00317265532163019","< (02x12)","0.0120369481070948","< (02x12)","0.00837384906674997","< (05x09)","0.187401192001721","< (04x10)","0.0383005285343547","< (04x10)","0.148778617087727","< (06x08)","0.572081696065726","< (05x09)","0.572081696065726","< (04x10)","0.209286554781767","> (09x05)","0.489853845560897","< (06x08)","0.753610350301361","> (08x06)","1","t (07x07)","1","t (07x07)","0.753610350301361","> (10x04)","0.258486052233535","> (08x06)","0.753610350301361","> (08x05)","0.2634941841412","> (08x05)","0.401678166469773","> (12x02)","0.0143538943534938","> (10x04)","0.232966059706807","< (03x10)","0.107973208797929","> (09x05)","0.0900820575789647","> (08x06)","0.615518503675301","> (09x05)","0.0787915035643527","> (10x04)","0.285881444542875","< (05x09)","0.489853845560898"
"RecallWeightedAvg","< (01x13)","0.0020976434034589","< (06x08)","0.451258974150342","< (06x08)","0.379471360411207","< (01x13)","0.00574194154874128","< (02x12)","0.0047289220599092","< (01x13)","0.00136666351919497","< (01x13)","0.00136666351919497","< (00x14)","0.0010970505857231","< (02x12)","0.0328100197002589","< (02x12)","0.0047289220599092","> (11x03)","0.0596604735623143","> (10x04)","0.131904094905011","> (08x06)","0.949944493522","< (04x10)","0.346373280006178","< (05x09)","0.148778617087727","< (04x09)","0.0806128145385549","< (02x12)","0.0201936704010222","> (10x04)","0.0596604735623143","> (08x06)","0.379471360411207","< (05x09)","0.285881444542875","< (04x10)","0.0596604735623143","< (04x10)","0.0516462183078041","< (00x13)","0.00166169445798351","< (01x13)","0.0047289220599092","< (01x13)","0.0020976434034589","< (05x09)","0.346373280006178","< (02x12)","0.0120369481070948","< (04x10)","0.0900820575789648","< (04x10)","0.0686801607303541","< (02x12)","0.0038804738522969","< (01x13)","0.0100578003666","< (01x13)","0.0047289220599092","> (07x06)","0.833935414088552","< (03x10)","0.0591720678258595","< (03x11)","0.148778617087727","< (06x07)","0.484641678788314","< (03x11)","0.0170556294065931","< (02x12)","0.0120369481070948","> (11x03)","0.0516462183078041","> (08x06)","0.753610350301361","< (06x08)","0.379471360411207","< (04x10)","0.116551957746077","< (04x10)","0.0686801607303541","> (11x03)","0.0516462183078041","> (09x05)","0.753610350301361","< (05x08)","0.888840680809476","< (05x08)","1","> (13x01)","0.00472892205990916","> (11x03)","0.0787915035643527","< (05x08)","0.184235113180511","> (12x02)","0.0100578003665999","> (11x03)","0.068680160730354","> (12x02)","0.00574194154874119","> (11x03)","0.032810019700259","< (04x10)","0.0787915035643527"
"FMeasureWeightedAvg","< (03x11)","0.0120369481070948","t (07x07)","0.900085797418725","< (06x08)","0.753610350301361","< (01x13)","0.00574194154874128","< (02x12)","0.0100578003666","< (01x13)","0.00136666351919497","< (00x14)","0.0010970505857231","< (00x14)","0.0010970505857231","< (02x12)","0.0383005285343547","< (04x10)","0.0445533169117585","> (10x04)","0.167253563317042","> (09x05)","0.187401192001721","> (09x05)","0.70642711574737","< (06x08)","0.900085797418725","< (03x11)","0.0328100197002589","< (04x10)","0.0516462183078041","< (01x13)","0.0020976434034589","> (08x06)","0.615518503675301","> (08x06)","0.414446222764492","< (06x08)","0.949944493522","< (04x10)","0.0596604735623143","< (03x11)","0.0596604735623143","< (01x13)","0.00574194154874128","< (01x13)","0.0120369481070948","< (01x13)","0.0100578003666","< (05x09)","0.148778617087727","< (05x09)","0.116551957746077","< (04x10)","0.0596604735623143","< (03x11)","0.0596604735623143","< (02x12)","0.0038804738522969","< (02x12)","0.0100578003666","< (02x12)","0.0047289220599092","< (06x08)","0.258486052233535","< (04x10)","0.0596604735623143","< (06x08)","0.850618403625297","< (04x10)","0.131904094905011","< (01x13)","0.00258447894760353","< (00x14)","0.0010970505857231","> (10x04)","0.167253563317042","> (08x06)","0.801732212656982","< (04x10)","0.131904094905011","< (03x11)","0.0328100197002589","< (03x11)","0.0238241460165172","> (11x03)","0.0787915035643527","> (09x05)","0.850618403625297","> (07x06)","0.624700399444191","> (08x05)","0.726767806199101","> (13x01)","0.00209764340345897","> (11x03)","0.0516462183078041","< (03x10)","0.0360316862182336","> (12x02)","0.0069466981659092","> (11x03)","0.068680160730354","> (12x02)","0.00388047385229684","> (11x03)","0.0383005285343547","< (06x08)","0.489853845560898"
"Summary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"wins c1","RuleMatchCount-PART","0","RuleMatchCount-PART","0","RuleMatchCount-PART","0","RuleMatchCount-PART","0","RuleMatchCount-PART","0","RuleMatchCount-PART","0","RuleMatchCount-PART","0","RuleMatchCount-PART","0","RuleMatchCount-PART","0","RuleMatchCount-PART","0","RuleMatchWeighted-PART","4","RuleMatchWeighted-PART","4","RuleMatchWeighted-PART","4","RuleMatchWeighted-PART","0","RuleMatchWeighted-PART","0","RuleMatchWeighted-PART","0","RuleMatchWeighted-PART","0","RuleMatchWeighted-PART","4","RuleMatchWeighted-PART","4","RuleMatchCount-J48","0","RuleMatchCount-J48","0","RuleMatchCount-J48","0","RuleMatchCount-J48","0","RuleMatchCount-J48","0","RuleMatchCount-J48","0","RuleMatchCount-J48","0","RuleMatchCount-J48","0","RuleMatchWeighted-J48","0","RuleMatchWeighted-J48","0","RuleMatchWeighted-J48","0","RuleMatchWeighted-J48","0","RuleMatchWeighted-J48","0","RuleMatchWeighted-J48","2","RuleMatchWeighted-J48","0","RuleMatchCount-DT","0","RuleMatchCount-DT","0","RuleMatchCount-DT","0","RuleMatchCount-DT","0","RuleMatchCount-DT","4","RuleMatchCount-DT","3","RuleMatchWeighted-DT","1","RuleMatchWeighted-DT","0","RuleMatchWeighted-DT","0","RuleMatchWeighted-DT","4","RuleMatchWeighted-DT","4","PureJ48","2","PureJ48","2","PureJ48","4","PureJ48","4","PureDT","0","PureDT","4","PureDT","4","PurePART","4","PurePART","4","RuleMatchCount-Rand","0"
"wins c2","RuleMatchWeighted-PART","4","RuleMatchCount-J48","3","RuleMatchWeighted-J48","3","RuleMatchCount-DT","4","RuleMatchWeighted-DT","4","PureJ48","4","PureDT","4","PurePART","4","RuleMatchCount-Rand","4","RuleMatchWeighted-Rand","4","RuleMatchCount-J48","0","RuleMatchWeighted-J48","0","RuleMatchCount-DT","0","RuleMatchWeighted-DT","4","PureJ48","4","PureDT","4","PurePART","4","RuleMatchCount-Rand","0","RuleMatchWeighted-Rand","0","RuleMatchWeighted-J48","3","RuleMatchCount-DT","4","RuleMatchWeighted-DT","4","PureJ48","4","PureDT","4","PurePART","4","RuleMatchCount-Rand","4","RuleMatchWeighted-Rand","4","RuleMatchCount-DT","4","RuleMatchWeighted-DT","4","PureJ48","4","PureDT","4","PurePART","4","RuleMatchCount-Rand","2","RuleMatchWeighted-Rand","4","RuleMatchWeighted-DT","4","PureJ48","4","PureDT","4","PurePART","4","RuleMatchCount-Rand","0","RuleMatchWeighted-Rand","1","PureJ48","3","PureDT","3","PurePART","3","RuleMatchCount-Rand","0","RuleMatchWeighted-Rand","0","PureDT","2","PurePART","2","RuleMatchCount-Rand","0","RuleMatchWeighted-Rand","0","PurePART","4","RuleMatchCount-Rand","0","RuleMatchWeighted-Rand","0","RuleMatchCount-Rand","0","RuleMatchWeighted-Rand","0","RuleMatchWeighted-Rand","4"
"ties","Tie","0","Tie","1","Tie","1","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","1","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","1","Tie","1","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0"
"wins c1 sig","RuleMatchCount-PART","0","RuleMatchCount-PART","0","RuleMatchCount-PART","0","RuleMatchCount-PART","0","RuleMatchCount-PART","0","RuleMatchCount-PART","0","RuleMatchCount-PART","0","RuleMatchCount-PART","0","RuleMatchCount-PART","0","RuleMatchCount-PART","0","RuleMatchWeighted-PART","0","RuleMatchWeighted-PART","0","RuleMatchWeighted-PART","0","RuleMatchWeighted-PART","0","RuleMatchWeighted-PART","0","RuleMatchWeighted-PART","0","RuleMatchWeighted-PART","0","RuleMatchWeighted-PART","0","RuleMatchWeighted-PART","0","RuleMatchCount-J48","0","RuleMatchCount-J48","0","RuleMatchCount-J48","0","RuleMatchCount-J48","0","RuleMatchCount-J48","0","RuleMatchCount-J48","0","RuleMatchCount-J48","0","RuleMatchCount-J48","0","RuleMatchWeighted-J48","0","RuleMatchWeighted-J48","0","RuleMatchWeighted-J48","0","RuleMatchWeighted-J48","0","RuleMatchWeighted-J48","0","RuleMatchWeighted-J48","0","RuleMatchWeighted-J48","0","RuleMatchCount-DT","0","RuleMatchCount-DT","0","RuleMatchCount-DT","0","RuleMatchCount-DT","0","RuleMatchCount-DT","0","RuleMatchCount-DT","0","RuleMatchWeighted-DT","0","RuleMatchWeighted-DT","0","RuleMatchWeighted-DT","0","RuleMatchWeighted-DT","0","RuleMatchWeighted-DT","0","PureJ48","0","PureJ48","0","PureJ48","4","PureJ48","0","PureDT","0","PureDT","3","PureDT","0","PurePART","3","PurePART","3","RuleMatchCount-Rand","0"
"win c2 sig","RuleMatchWeighted-PART","3","RuleMatchCount-J48","0","RuleMatchWeighted-J48","0","RuleMatchCount-DT","3","RuleMatchWeighted-DT","4","PureJ48","4","PureDT","4","PurePART","4","RuleMatchCount-Rand","3","RuleMatchWeighted-Rand","3","RuleMatchCount-J48","0","RuleMatchWeighted-J48","0","RuleMatchCount-DT","0","RuleMatchWeighted-DT","0","PureJ48","1","PureDT","0","PurePART","3","RuleMatchCount-Rand","0","RuleMatchWeighted-Rand","0","RuleMatchWeighted-J48","0","RuleMatchCount-DT","1","RuleMatchWeighted-DT","1","PureJ48","4","PureDT","4","PurePART","4","RuleMatchCount-Rand","0","RuleMatchWeighted-Rand","3","RuleMatchCount-DT","0","RuleMatchWeighted-DT","1","PureJ48","4","PureDT","4","PurePART","4","RuleMatchCount-Rand","0","RuleMatchWeighted-Rand","1","RuleMatchWeighted-DT","0","PureJ48","0","PureDT","3","PurePART","3","RuleMatchCount-Rand","0","RuleMatchWeighted-Rand","0","PureJ48","0","PureDT","1","PurePART","1","RuleMatchCount-Rand","0","RuleMatchWeighted-Rand","0","PureDT","0","PurePART","0","RuleMatchCount-Rand","0","RuleMatchWeighted-Rand","0","PurePART","1","RuleMatchCount-Rand","0","RuleMatchWeighted-Rand","0","RuleMatchCount-Rand","0","RuleMatchWeighted-Rand","0","RuleMatchWeighted-Rand","0"
