"","RuleMatchCount-PART","RuleMatchWeighted-PART","RuleMatchCount-J48","RuleMatchWeighted-J48","RuleMatchCount-DT","RuleMatchWeighted-DT","PureJ48","PureDT","PurePART","RuleMatchCount-Rand","RuleMatchWeighted-Rand"
"australian",0.778655867468511,0.835814461212865,0.774461079358172,0.786216567967508,0.83206737815024,0.84098539057274,0.824631127205348,0.835225059658043,0.83757848139392,0.801740248550325,0.846092066636192
"breast",0.927905965540343,0.932318977523756,0.908500494071727,0.898685596007169,0.931191371633971,0.93722627550393,0.926549936965269,0.928077699614001,0.934933412484867,0.938151734859757,0.936677024424684
"breastcancer",0.633913090905734,0.62516798477593,0.661769590478021,0.663255773907431,0.660921512179653,0.685470071293813,0.67298622285933,0.678808943888135,0.672313348769405,0.654102281417239,0.650660095127536
"diabetes",0.689941091929449,0.707848605295032,0.637663247017062,0.638499974692292,0.700380336947582,0.698261713880897,0.709629490860067,0.705648349035834,0.708715114494742,0.696390435163131,0.680893257946513
"heart",0.719255187414016,0.746315592666167,0.616691204487402,0.605757968800096,0.739613231277024,0.722339584189288,0.741919746402403,0.749025589532828,0.74487594249462,0.720365563945519,0.729944853567379
"hepatitis",0.757664774715213,0.756687846949492,0.760570310489851,0.762446154658677,0.805377000713208,0.80198143174952,0.790614678092189,0.81054559957145,0.812710345386422,0.775090305010652,0.747910183872109
"ionosphere",0.776359002730021,0.868152871761532,0.819199998681912,0.810052225817298,0.834886799835216,0.810401841862637,0.895615732889502,0.861952055763517,0.870905329665578,0.879652065941967,0.854950912294743
"labor",0.624489795918367,0.703571428571429,0.877083333333333,0.849814814814815,0.747448979591837,0.791953262786596,0.828497942386831,0.799051878061166,0.811056494282301,0.742380952380952,0.865476190476191
"liver-disorders",0.542760185927773,0.547166915930476,0.560865840506086,0.56701945428474,0.54368035867626,0.53510982246681,0.654320756639994,0.60171878736817,0.608862226943094,0.555806838385276,0.512724840811361
"mushroom",0.996795481869046,0.998523252173835,0.990516461397277,0.989777191126734,0.999014707971514,0.999261201216587,1,1,1,0.998399989437995,0.999015052118144
"sick",0.958781624075977,0.977923724093286,0.977871874678706,0.978823772288798,0.977177768104779,0.978257698177408,0.978367024938319,0.978310615393095,0.978316100262803,0.973700008883782,0.976726171660975
"sonar",0.6063956600697,0.597776176531974,0.597323083341928,0.586756043585001,0.628736038255884,0.610772826556309,0.612277435243677,0.630816239189237,0.645599111065051,0.567942109005804,0.602325335321548
"tic-tac-toe",0.780130981491922,0.873895123207486,0.735437499357679,0.735466832611049,0.757239406071034,0.761509837637671,0.924910552434406,0.884692809533611,0.906557043766466,0.760477074692348,0.821848430975564
"vote",0.854563402912095,0.951975218423565,0.922009120431791,0.945034084112591,0.947554730274029,0.950207359430938,0.956352145669006,0.955438562079861,0.953605888419403,0.93361462179284,0.945143621555845
"Average",0.760543722354869,0.794509869936916,0.774283081259354,0.772686175333871,0.793234972834445,0.794552736951796,0.822619485184739,0.815665156334925,0.820430631387762,0.785558159247685,0.797884859770628
"RankSum",128,85,117,110,87,74,45,48,38,101,91
