"","RuleMatchCount-PART","RuleMatchWeighted-PART","RuleMatchCount-J48","RuleMatchWeighted-J48","RuleMatchCount-DT","PureJ48","PureDT","PurePART","RuleMatchCount-Rand","RuleMatchWeighted-Rand"
"australian",79.7101449275362,85.0724637681159,80.1449275362319,81.0144927536232,84.2028985507246,82.463768115942,83.4782608695652,83.719806763285,82.3188405797101,84.2028985507246
"breast",93.2732919254658,93.1262939958592,93.1325051759834,93.2712215320911,92.6997929606625,92.703933747412,92.8426501035197,93.5093167701863,93.8447204968944,92.4120082815735
"breastcancer",69.5566502463054,70.6034482758621,66.0344827586207,67.3768472906404,70.9729064039409,68.1896551724138,70.2832512315271,69.5771756978654,70.9852216748769,68.4975369458128
"diabetes",70.3349282296651,71.6387559808612,67.1941216678059,68.7542720437457,72.4094326725906,71.2303485987697,71.61995898838,71.6228070175439,72.5375939849624,70.9791524265208
"heart",75.1851851851852,75.1851851851852,65.9259259259259,64.0740740740741,74.4444444444444,74.0740740740741,74.8148148148148,74.320987654321,72.5925925925926,72.5925925925926
"hepatitis",73.7083333333333,75.6666666666667,76.25,75.625,80.7916666666667,80.1666666666667,82.0416666666667,82.0138888888889,80.75,76.25
"ionosphere",81.1587301587302,86.6031746031746,87.1984126984127,84.3571428571429,86.5873015873016,89.7380952380952,86.4603174603175,87.2619047619048,89.4365079365079,87.1666666666667
"labor",67,77.6666666666667,82.6666666666667,82.6666666666667,75.6666666666667,82.6666666666667,79.3333333333333,81,81,77.6666666666667
"liver-disorders",58.8067226890756,58.5210084033613,59.1260504201681,59.6974789915966,55.9243697478992,65.4957983193277,61.5882352941176,61.7058823529412,55.0588235294118,53.2689075630252
"mushroom",99.9261538181884,99.9261538181884,99.1138609661959,99.0276995134483,99.9014778325123,100,100,100,99.9753694581281,99.9015384242512
"sick",95.519978106185,97.7205170308619,97.826337136682,97.852792163137,97.8264073091659,97.879177017108,97.905702216047,97.8967669197554,97.720166168442,97.667185943048
"sonar",63.0714285714286,61.1904761904762,58.6666666666667,61.0714285714286,62.2142857142857,62.4285714285714,63,64.4444444444444,62.0238095238095,59.3095238095238
"tic-tac-toe",82.9912280701754,87.7905701754386,79.3453947368421,79.344298245614,80.5888157894737,92.4879385964912,88.4577850877193,90.6337719298246,81.5219298245614,82.2510964912281
"vote",86.1892177589852,94.73044397463,92.2040169133192,94.9577167019028,94.2811839323467,95.6501057082452,95.5311839323467,95.3453136011276,92.8752642706131,94.9577167019028
"Average",78.3165709300185,81.1029874810963,78.9163835192515,79.2207951003651,80.6079750199058,82.5124856678417,81.9540828570254,82.3608619144349,80.9029171457507,79.7945350759669
"RankSum",96,71,103,100,79,54,53,41,69,96
