"","RuleMatchCount-J48","RuleMatchWeighted-J48","RuleMatchCount-DT","PureWeka"
"australian",0.784170440731658,0.79927618463307,0.839570206463331,0.824631127205348
"breast",0.929382487863766,0.93060869729197,0.923876274035646,0.926549936965269
"breastcancer",0.645824359645084,0.641616555916856,0.707443588119519,0.67298622285933
"diabetes",0.637852567434124,0.638215946825948,0.71707029839887,0.709629490860067
"heart",0.679868551392843,0.681617903603196,0.729860456712104,0.741919746402403
"hepatitis",0.786935859558878,0.76305168099515,0.832976841331886,0.790614678092189
"ionosphere",0.827208712186046,0.828649153327626,0.865931192571451,0.895615732889502
"labor",0.877777777777778,0.812268518518519,0.752286470143613,0.828497942386831
"liver-disorders",0.575091989154209,0.567878412875043,0.580495529891378,0.654320756639994
"mushroom",0.990023417553523,0.989777191126734,0.999014707971514,1
"sick",0.977886665767056,0.976924411257754,0.977043616707397,0.978367024938319
"sonar",0.596289464106379,0.591660551172486,0.625237585111727,0.612277435243677
"tic-tac-toe",0.754024130768353,0.755940362774401,0.747686613127665,0.924910552434406
"vote",0.935983026717467,0.947319018021369,0.947490300818499,0.956352145669006
"Average",0.785594246475512,0.780343184881437,0.803284548671757,0.822619485184739
"RankSum",43,45,30,22
